,district,students_in_grade_12_20,sat_20_grade_12_takers,sat_20_grade_12_at_erwb_benchmark,sat_20_grade_12_at_math_benchmark,students_in_grade_11_20,sat_20_grade_11_takers,sat_20_grade_11_at_erwb_benchmark,sat_20_grade_11_at_math_benchmark,sat_20_grade_12_at_both_benchmarks,sat_20_grade_11_at_both_benchmarks,sat_20_g12_participation,sat_20_g11_Participation,act_test_takers_20,act_eng_20,act_read_20,act_math_20,act_sci_20,act_comp_over_21_20,act_20_participation
356,Yreka Union High,141,28,0.75,0.6429,153,13,,,0.5714,,0.19858156028368795,0.08496732026143791,30.0,19.0,20.0,19.0,20.0,0.43,0.2127659574468085
357,Stanislaus County Office of Education,976,4,,,191,3,,,,,0.004098360655737705,0.015706806282722512,0.0,,,,,,0.0
358,Live Oak Unified,142,52,0.7115,0.44229999999999997,151,8,,,0.44229999999999997,,0.36619718309859156,0.052980132450331126,45.0,19.0,20.0,20.0,19.0,0.4,0.31690140845070425
359,Meridian Elementary,105,2,,,128,2,,,,,0.01904761904761905,0.015625,1.0,,,,,,0.009523809523809525
360,Mountain Valley Unified,22,1,,,20,0,,,,,0.045454545454545456,0.0,0.0,,,,,,0.0
361,Washington Unified,520,184,0.6467,0.43479999999999996,654,9,,,0.4022,,0.35384615384615387,0.013761467889908258,69.0,19.0,21.0,20.0,20.0,0.42,0.1326923076923077
362,Bret Harte Union High,155,30,0.9,0.6333,158,4,,,0.6333,,0.1935483870967742,0.02531645569620253,8.0,,,,,,0.05161290322580645
363,Byron Union Elementary,77,7,,,80,4,,,,,0.09090909090909091,0.05,0.0,,,,,,0.0
364,Willows Unified,124,19,0.7368000000000001,0.5263,110,2,,,0.47369999999999995,,0.1532258064516129,0.01818181818181818,9.0,,,,,,0.07258064516129033
365,Imperial Unified,279,71,0.831,0.5775,342,3,,,0.5493,,0.25448028673835127,0.008771929824561403,41.0,22.0,23.0,23.0,23.0,0.73,0.14695340501792115
366,Konocti Unified,230,40,0.725,0.375,251,3,,,0.35,,0.17391304347826086,0.01195219123505976,17.0,21.0,22.0,19.0,19.0,0.47,0.07391304347826087
367,Centinela Valley Union High,1859,543,0.4788,0.2007,1708,3,,,0.18230000000000002,,0.29209252286175363,0.001756440281030445,233.0,17.0,19.0,18.0,18.0,0.28,0.1253362022592792
368,Keppel Union Elementary,3,0,,,9,2,,,,,0.0,0.2222222222222222,,,,,,,
369,Long Beach Unified,5944,3622,0.5297999999999999,0.315,5570,127,0.8898,0.8109999999999999,0.2949,0.8031,0.6093539703903096,0.02280071813285458,374.0,23.0,24.0,23.0,23.0,0.64,0.06292059219380888
