,district,students_in_grade_12_19,sat_19_grade_12_takers,sat_19_grade_12_at_erwb_benchmark,sat_19_grade_12_at_math_benchmark,students_in_grade_11_19,sat_19_grade_11_takers,sat_19_grade_11_at_erwb_benchmark,sat_19_grade_11_at_math_benchmark,sat_19_grade_12_at_both_benchmarks,sat_19_grade_11_at_both_benchmarks,sat_19_g12_participation,sat_19_g11_participation,students_in_grade_12_20,sat_20_grade_12_takers,sat_20_grade_12_at_erwb_benchmark,sat_20_grade_12_at_math_benchmark,students_in_grade_11_20,sat_20_grade_11_takers,sat_20_grade_11_at_erwb_benchmark,sat_20_grade_11_at_math_benchmark,sat_20_grade_12_at_both_benchmarks,sat_20_grade_11_at_both_benchmarks,sat_20_g12_participation,sat_20_g11_Participation
388,Conejo Valley Unified,1767.0,611.0,0.9362,0.7709,1715.0,745.0,0.9584,0.8872,0.7676000000000001,0.008671,0.3457838143746463,0.43440233236151604,1733,601,0.9118,0.7887000000000001,1768,223,0.9954999999999999,0.9731000000000001,0.7687,0.9731000000000001,0.346797461050202,0.126131221719457
389,Santa Paula Unified,429.0,95.0,0.7158,0.47369999999999995,384.0,116.0,0.6809999999999999,0.5172,0.4316,0.004914,0.22144522144522144,0.3020833333333333,376,87,0.6207,0.4138,420,4,,,0.37929999999999997,,0.23138297872340424,0.009523809523809525
390,Wheatland Union High,167.0,52.0,0.8269,0.5192,214.0,63.0,0.7937000000000001,0.5714,0.5,0.005714,0.31137724550898205,0.29439252336448596,219,47,0.8298000000000001,0.4894,212,7,,,0.4681,,0.2146118721461187,0.0330188679245283
391,Alameda Unified,919.0,373.0,0.7802,0.6434000000000001,871.0,439.0,0.8793000000000001,0.8155,0.5952000000000001,0.007927,0.4058759521218716,0.5040183696900115,928,398,0.8342,0.7211,889,110,0.9727,0.9181999999999999,0.6984999999999999,0.9,0.42887931034482757,0.12373453318335208
392,Black Oak Mine Unified,92.0,12.0,,,84.0,9.0,,,,,0.13043478260869565,0.10714285714285714,89,10,,,111,0,,,,,0.11235955056179775,0.0
393,Fresno County Office of Education,359.0,11.0,,,640.0,9.0,,,,,0.03064066852367688,0.0140625,302,11,,,548,0,,,,,0.03642384105960265,0.0
394,Fowler Unified,211.0,76.0,0.5789,0.25,169.0,94.0,0.5851,0.2872,0.2368,0.0027660000000000002,0.36018957345971564,0.5562130177514792,169,41,0.46340000000000003,0.1463,214,34,0.6765000000000001,0.3529,0.1463,0.3529,0.24260355029585798,0.1588785046728972
395,Golden Plains Unified,125.0,27.0,0.3704,0.0,109.0,104.0,0.1827,0.0096,0.0,9.599999999999999e-05,0.216,0.9541284403669725,108,43,0.3256,0.11630000000000001,156,0,,,0.09300000000000001,,0.39814814814814814,0.0
396,Caruthers Unified,156.0,57.0,0.5088,0.21050000000000002,169.0,67.0,0.44780000000000003,0.2836,0.21050000000000002,0.00209,0.36538461538461536,0.39644970414201186,163,64,0.2813,0.17190000000000003,138,28,0.7143,0.2857,0.125,0.2143,0.39263803680981596,0.2028985507246377
397,Northern Humboldt Union High,424.0,100.0,0.9,0.68,398.0,127.0,0.8504,0.7402,0.66,0.007165,0.2358490566037736,0.31909547738693467,408,85,0.8706,0.7176,415,31,0.9355,0.8387,0.6706,0.8387,0.20833333333333334,0.0746987951807229
398,Mojave Unified,143.0,31.0,0.8387,0.3226,181.0,17.0,0.7646999999999999,0.5294,0.3226,0.004706,0.21678321678321677,0.09392265193370165,166,18,0.7778,0.5,164,2,,,0.44439999999999996,,0.10843373493975904,0.012195121951219513
399,Muroc Joint Unified,123.0,32.0,0.9375,0.625,107.0,21.0,1.0,0.7619,0.5938,0.007619,0.2601626016260163,0.19626168224299065,102,33,0.7879,0.4545,99,6,,,0.39390000000000003,,0.3235294117647059,0.06060606060606061
400,Susanville Elementary,,,,,,,,,,,,,25,0,,,33,0,,,,,0.0,0.0
401,Westwood Unified,10.0,6.0,,,16.0,0.0,,,,,0.6,0.0,15,0,,,15,0,,,,,0.0,0.0
402,Hawthorne,112.0,64.0,0.8593999999999999,0.6563,128.0,106.0,0.8774,0.7547,0.6406000000000001,0.007358,0.5714285714285714,0.828125,124,75,0.8933,0.6933,126,2,,,0.68,,0.6048387096774194,0.015873015873015872
403,Monrovia Unified,473.0,185.0,0.7404999999999999,0.4378,413.0,103.0,0.835,0.7087,0.42700000000000005,0.006602,0.39112050739957716,0.24939467312348668,380,141,0.7304999999999999,0.4965,477,13,,,0.4539,,0.37105263157894736,0.027253668763102725
404,Montebello Unified,2333.0,658.0,0.6307,0.348,2166.0,565.0,0.708,0.446,0.3207,0.004212,0.28204029147021004,0.2608494921514312,2336,726,0.6335999999999999,0.3444,2058,6,,,0.3223,,0.3107876712328767,0.0029154518950437317
405,Pomona Unified,1897.0,651.0,0.5515,0.27190000000000003,1720.0,533.0,0.6679,0.41840000000000005,0.2535,0.00379,0.34317343173431736,0.30988372093023253,1978,628,0.5924,0.3057,1660,29,0.8621,0.7241,0.2787,0.7241,0.31749241658240646,0.01746987951807229
406,Arena Union Elementary,4.0,1.0,,,6.0,2.0,,,,,0.25,0.3333333333333333,5,1,,,8,0,,,,,0.2,0.0
407,Carmel Unified,215.0,59.0,0.9322,0.7797,231.0,91.0,1.0,0.9670000000000001,0.7797,0.009670000000000002,0.2744186046511628,0.3939393939393939,221,57,1.0,0.9298000000000001,221,13,,,0.9298000000000001,,0.2579185520361991,0.058823529411764705
