,school_district,score,expenditures_for_public_elementary_and_secondary_schools_per_pupil,income_by_school_district
741,Kerman Unified,55.23,"$11,744","$48,445"
460,Kern High,31.89,"$14,008","$54,398"
783,Kernville Union Elementary,61.07,"$14,255","$31,554"
411,Keyes Union,28.96,"$13,197","$60,625"
623,King City Union,44.35,"$12,083","$54,804"
689,Kings Canyon Joint Unified,49.5,"$13,273","$45,038"
566,Kings River Union Elementary,40.24,"$13,838","$49,063"
374,Kingsburg Joint Union High,25.81,"$12,350","$67,198"
361,Kirkwood Elementary,24.95,"$12,042","$69,375"
579,Kit Carson Union Elementary,41.22,"$12,293","$56,071"
383,Klamath River Union Elementary,26.4,"$20,750","$24,732"
108,Klamath-Trinity Joint Unified,7.59,"$20,560","$39,613"
867,Kneeland Elementary,107.75,"$30,308","$76,250"
789,Knights Ferry Elementary,62.27,"$9,516","$54,375"
515,Knightsen Elementary,36.07,"$10,386","$122,844"
799,Konocti Unified,64.03,"$13,008","$35,601"
888,La Canada Unified,133.01,"$12,010","$186,500"
58,La Habra City Elementary,3.99,"$13,455","$77,824"
895,La Honda-Pescadero Unified,152.11,"$22,367","$148,826"
280,La Mesa-Spring Valley,19.85,"$12,472","$70,997"
885,Lafayette Elementary,121.16,"$12,171","$176,919"
880,Laguna Beach Unified,115.79,"$20,919","$129,175"
839,Laguna Joint Elementary,77.1,"$21,857","$95,833"
85,Lagunita Elementary,6.14,"$10,287","$92,083"
740,Lagunitas Elementary,55.22,"$18,199","$97,935"
755,Lake Elementary,56.6,"$9,762","$57,344"
179,Lake Elsinore Unified,12.08,"$13,176","$73,231"
487,Lake Tahoe Unified,33.54,"$13,165","$57,396"
604,Lakeport Unified,42.94,"$13,271","$49,902"
912,Lakeside Joint,251.65,"$31,423","$177,222"
422,Lakeside Union,29.65,"$10,364","$74,286"
699,Lakeside Union Elementary - Hanford,50.47,"$12,585","$47,763"
169,Lakeside Union Elementary - Lakeside,11.43,"$12,255","$78,320"
690,Lamont Elementary,49.59,"$13,702","$42,821"
659,Lancaster Elementary,47.53,"$12,465","$50,536"
844,Larkspur-Corte Madera,81.49,"$14,398","$136,406"
909,Las Lomitas Elementary,218.46,"$23,590","$191,836"
746,Las Virgenes Unified,55.45,"$11,420","$132,023"
446,Lassen Union High,30.98,"$12,816","$61,034"
694,Lassen View Union Elementary,49.95,"$10,597","$58,092"
518,Laton Joint Unified,36.23,"$15,518","$43,627"
843,Latrobe,80.64,"$15,648","$129,516"
62,Lawndale Elementary,4.3,"$16,218","$63,773"
401,Laytonville Unified,28.37,"$17,117","$41,450"
428,Le Grand Union Elementary,30.09,"$15,404","$48,750"
528,Le Grand Union High,36.75,"$15,548","$43,096"
288,Leggett Valley Unified,20.55,"$22,063","$22,500"
320,Lemon Grove,22.67,"$13,471","$63,911"
493,Lemoore Union Elementary,33.93,"$11,566","$65,107"
461,Lemoore Union High,31.93,"$12,518","$61,824"
451,Lennox,31.31,"$14,978","$49,978"
263,Lewiston Elementary,18.82,"$18,593","$41,136"
367,Liberty Elementary - Petaluma,25.44,"$14,627","$93,750"
835,Liberty Elementary - Tulare,74.99,"$8,032","$52,386"
421,Liberty Union High,29.63,"$12,113","$109,430"
922,Lincoln Elementary,502.26,"$85,750","$91,000"
444,Lincoln Unified,30.93,"$11,860","$65,858"
350,Linden Unified,24.39,"$12,259","$68,706"
484,Lindsay Unified,33.46,"$17,927","$33,626"
812,Linns Valley-Poso Flat Union,67.21,"$30,526","$45,139"
186,Little Lake City Elementary,12.69,"$12,723","$75,046"
296,Little Shasta Elementary,21.11,"$18,190","$41,458"
101,Live Oak Elementary,6.97,"$13,933","$73,229"
553,Live Oak Unified,38.89,"$12,518","$56,667"
745,Livermore Valley Joint Unified,55.38,"$12,373","$127,200"
532,Livingston Union,36.88,"$13,071","$55,392"
309,Lodi Unified,22.05,"$12,898","$67,240"
323,Loleta Union Elementary,22.89,"$15,358","$54,306"
875,Loma Prieta Joint Union Elementary,113.88,"$15,225","$156,250"
448,Lompoc Unified,31.11,"$12,456","$62,740"
255,Lone Pine Unified,18.57,"$17,442","$47,083"
310,Long Beach Unified,22.05,"$13,175","$65,851"
170,Loomis Union Elementary,11.45,"$9,833","$107,379"
73,Los Alamitos Unified,4.91,"$11,866","$85,092"
907,Los Altos Elementary,193.6,"$15,626","$213,273"
147,Los Angeles Unified,10.41,"$15,793","$61,375"
513,Los Banos Unified,35.68,"$11,990","$61,691"
894,Los Gatos Union Elementary,143.45,"$14,289","$182,830"
900,Los Gatos-Saratoga Union High,166.66,"$17,307","$184,917"
581,Los Molinos Unified,41.34,"$14,423","$45,326"
38,Los Nietos,2.77,"$16,034","$65,826"
550,Los Olivos Elementary,38.88,"$15,399","$99,844"
412,Lost Hills Union Elementary,28.97,"$18,617","$33,500"
141,Lowell Joint,9.88,"$10,051","$90,493"
686,Lucerne Elementary,49.44,"$13,545","$43,722"
657,Lucerne Valley Unified,47.31,"$16,528","$30,376"
204,Lucia Mar Unified,14.01,"$11,770","$78,837"
41,Luther Burbank,2.88,"$14,430","$73,766"
551,Lynwood Unified,38.88,"$13,451","$52,007"
611,Madera Unified,43.45,"$13,001","$50,878"
420,Magnolia Elementary,29.5,"$12,834","$62,044"
791,Magnolia Union Elementary,62.47,"$10,262","$50,500"
410,Mammoth Unified,28.89,"$12,805","$62,639"
576,Manchester Union Elementary,40.75,"$25,389","$51,250"
866,Manhattan Beach Unified,107.33,"$14,901","$153,023"
261,Manteca Unified,18.79,"$12,178","$73,257"
250,Manzanita Elementary,18.17,"$10,290","$83,162"
921,Maple Creek Elementary,442.84,"$86,000","$45,750"
673,Maple Elementary,48.58,"$9,668","$63,750"
266,Marcum-Illinois Union Elementary,19.04,"$14,616","$60,875"
187,Maricopa Unified,12.78,"$20,036","$38,393"
591,Mariposa County Unified,41.92,"$13,686","$48,586"
509,Mark Twain Union Elementary,35.34,"$11,131","$66,239"
131,Mark West Union Elementary,9.24,"$11,610","$83,167"
221,Martinez Unified,15.68,"$11,803","$100,658"
655,Marysville Joint Unified,47.22,"$12,248","$51,851"
852,Mattole Unified,91.18,"$35,560","$37,708"
475,Maxwell Unified,32.77,"$13,424","$56,667"
152,Mccabe Union Elementary,10.63,"$10,652","$102,672"
698,Mccloud Union Elementary,50.41,"$14,817","$36,635"
788,Mcfarland Unified,62.06,"$13,102","$36,589"
639,Mckinleyville Union Elementary,45.92,"$11,698","$55,567"
714,Mckittrick Elementary,52.42,"$28,365","$45,000"
