,district,students_in_grade_12_19,act_test_takers_19,act_read_19,act_eng_19,act_math_19,act_sci_19,act_comp_over_21_19,act_19_participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
102,Kern High,10175.0,741.0,22.0,20.0,21.0,21.0,0.49,0.07282555282555282,31.89,14008.0,54398.0,0.055999999999999994,0.006,0.028999999999999998,0.012,0.69,0.003,0.185,0.011000000000000001,0.008
104,Mojave Unified,143.0,31.0,17.0,14.0,16.0,16.0,0.1,0.21678321678321677,53.01,12854.0,44535.0,0.306,0.003,0.006999999999999999,0.002,0.47600000000000003,0.003,0.146,0.052000000000000005,0.003
107,Taft Union High,238.0,35.0,21.0,18.0,19.0,19.0,0.31,0.14705882352941177,9.03,23039.0,39520.0,0.006,0.004,0.003,0.003,0.561,0.002,0.408,0.008,0.005
109,Wasco Union High,453.0,71.0,19.0,18.0,20.0,20.0,0.34,0.15673289183222958,63.09,12441.0,39137.0,0.012,0.0,0.002,0.001,0.943,0.0,0.042,0.0,0.001
110,Sierra Sands Unified,353.0,15.0,27.0,26.0,27.0,26.0,0.93,0.042492917847025496,24.73,12280.0,68347.0,0.052000000000000005,0.012,0.025,0.018000000000000002,0.304,0.006,0.542,0.039,0.001
115,Corcoran Joint Unified,187.0,40.0,18.0,17.0,18.0,19.0,0.25,0.21390374331550802,59.26,13054.0,38906.0,0.025,0.002,0.004,0.003,0.917,0.001,0.046,0.001,0.001
116,Hanford Joint Union High,897.0,45.0,22.0,21.0,20.0,21.0,0.56,0.05016722408026756,30.9,12744.0,61455.0,0.033,0.004,0.013000000000000001,0.015,0.6940000000000001,0.002,0.204,0.03,0.005
118,Lemoore Union High,527.0,84.0,21.0,19.0,19.0,19.0,0.35,0.15939278937381404,31.93,12518.0,61824.0,0.039,0.027000000000000003,0.009000000000000001,0.039,0.589,0.006,0.237,0.054000000000000006,0.0
119,Reef-Sunset Unified,165.0,112.0,16.0,14.0,15.0,16.0,0.04,0.6787878787878788,49.21,13896.0,42136.0,0.0,0.001,0.005,0.0,0.971,0.001,0.021,0.0,0.0
120,Kelseyville Unified,129.0,18.0,19.0,19.0,19.0,18.0,0.39,0.13953488372093023,30.03,14408.0,53778.0,0.006,0.026000000000000002,0.001,0.005,0.441,0.0,0.457,0.061,0.003
121,Konocti Unified,211.0,16.0,22.0,20.0,18.0,20.0,0.38,0.07582938388625593,64.03,13008.0,35601.0,0.024,0.026000000000000002,0.003,0.002,0.48700000000000004,0.0,0.375,0.07,0.011000000000000001
124,Upper Lake Unified,83.0,18.0,18.0,16.0,17.0,17.0,0.22,0.21686746987951808,43.49,13171.0,50000.0,0.006999999999999999,0.073,0.012,0.001,0.33,0.0,0.527,0.046,0.005
126,Lassen Union High,190.0,27.0,22.0,21.0,21.0,21.0,0.56,0.14210526315789473,30.98,12816.0,61034.0,0.012,0.044000000000000004,0.006999999999999999,0.006999999999999999,0.20800000000000002,0.017,0.618,0.071,0.016
131,Antelope Valley Union High,5657.0,339.0,21.0,20.0,19.0,20.0,0.44,0.059925755700901535,28.34,13693.0,58602.0,0.16399999999999998,0.002,0.012,0.013999999999999999,0.648,0.001,0.111,0.047,0.001
132,Arcadia Unified,857.0,192.0,28.0,29.0,28.0,27.0,0.91,0.22403733955659277,11.57,12188.0,95684.0,0.017,0.001,0.647,0.032,0.161,0.001,0.107,0.027000000000000003,0.006999999999999999
133,Azusa Unified,668.0,49.0,19.0,19.0,19.0,20.0,0.35,0.07335329341317365,2.08,15088.0,71068.0,0.01,0.001,0.013999999999999999,0.013000000000000001,0.922,0.0,0.028999999999999998,0.005,0.006
134,Baldwin Park Unified,1702.0,222.0,20.0,19.0,20.0,19.0,0.4,0.13043478260869565,12.64,14543.0,65978.0,0.036000000000000004,0.002,0.053,0.013999999999999999,0.845,0.002,0.031,0.008,0.009000000000000001
135,Bassett Unified,285.0,21.0,23.0,22.0,22.0,22.0,0.57,0.07368421052631578,14.38,13621.0,69300.0,0.006,0.001,0.04,0.013999999999999999,0.93,0.0,0.008,0.0,0.0
136,Bellflower Unified,953.0,31.0,25.0,24.0,22.0,23.0,0.74,0.03252885624344176,20.42,13391.0,65982.0,0.125,0.004,0.038,0.044000000000000004,0.662,0.01,0.083,0.028999999999999998,0.006
137,Beverly Hills Unified,424.0,91.0,28.0,29.0,27.0,26.0,0.86,0.21462264150943397,77.88,19769.0,106857.0,0.025,0.002,0.114,0.006,0.086,0.002,0.6890000000000001,0.054000000000000006,0.022000000000000002
138,Bonita Unified,865.0,157.0,23.0,22.0,22.0,22.0,0.62,0.1815028901734104,5.69,11358.0,87054.0,0.024,0.001,0.066,0.023,0.546,0.001,0.245,0.062,0.031
139,Burbank Unified,1331.0,176.0,26.0,25.0,25.0,24.0,0.8,0.1322314049586777,16.14,12056.0,75827.0,0.025,0.002,0.055999999999999994,0.036000000000000004,0.32899999999999996,0.001,0.475,0.053,0.023
140,Centinela Valley Union High,1875.0,186.0,18.0,17.0,17.0,18.0,0.16,0.0992,15.12,16522.0,54242.0,0.147,0.002,0.023,0.008,0.767,0.008,0.018000000000000002,0.025,0.003
141,Charter Oak Unified,404.0,38.0,22.0,21.0,22.0,22.0,0.66,0.09405940594059406,2.88,12980.0,81022.0,0.025,0.005,0.049,0.026000000000000002,0.711,0.001,0.15,0.031,0.0
142,Claremont Unified,616.0,139.0,25.0,24.0,24.0,24.0,0.74,0.22564935064935066,13.58,12213.0,97052.0,0.044000000000000004,0.002,0.10400000000000001,0.016,0.441,0.001,0.313,0.062,0.016
