,district,students_in_grade_12_19,act_test_takers_19,act_read_19,act_eng_19,act_math_19,act_sci_19,act_comp_over_21_19,act_19_participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
380,Jefferson Union High,1179.0,132.0,24.0,23.0,23.0,23.0,0.74,0.11195928753180662,30.15,13761.0,101575.0,0.013000000000000001,0.001,0.149,0.289,0.314,0.01,0.141,0.075,0.008
382,Ravenswood City Elementary,20.0,31.0,16.0,14.0,18.0,15.0,0.1,1.55,15.22,18622.0,66201.0,0.053,0.002,0.003,0.002,0.836,0.075,0.011000000000000001,0.015,0.003
383,San Mateo Union High,2359.0,529.0,27.0,26.0,26.0,26.0,0.82,0.22424756252649428,107.2,19357.0,130632.0,0.008,0.001,0.226,0.052000000000000005,0.318,0.019,0.275,0.10099999999999999,0.0
384,Sequoia Union High,2532.0,630.0,25.0,24.0,24.0,24.0,0.68,0.24881516587677724,112.2,19367.0,134282.0,0.024,0.003,0.08900000000000001,0.013999999999999999,0.452,0.02,0.35,0.046,0.001
385,South San Francisco Unified,682.0,41.0,23.0,23.0,24.0,23.0,0.76,0.060117302052785926,32.51,13184.0,106209.0,0.011000000000000001,0.002,0.142,0.22699999999999998,0.47600000000000003,0.018000000000000002,0.064,0.06,0.001
388,Carpinteria Unified,167.0,39.0,22.0,19.0,22.0,22.0,0.54,0.23353293413173654,10.24,14972.0,80771.0,0.001,0.001,0.01,0.003,0.7490000000000001,0.0,0.22,0.013999999999999999,0.001
389,Lompoc Unified,648.0,41.0,24.0,23.0,23.0,23.0,0.61,0.06327160493827161,31.11,12456.0,62740.0,0.022000000000000002,0.005,0.016,0.013000000000000001,0.688,0.002,0.207,0.046,0.001
390,Orcutt Union Elementary,145.0,49.0,25.0,26.0,25.0,25.0,0.82,0.33793103448275863,5.45,11083.0,88607.0,0.006,0.006,0.013999999999999999,0.013000000000000001,0.51,0.002,0.363,0.06,0.025
391,Santa Maria Joint Union High,1949.0,243.0,20.0,19.0,20.0,20.0,0.38,0.12467932272960493,17.71,13174.0,69070.0,0.006,0.004,0.008,0.015,0.873,0.001,0.08,0.006999999999999999,0.005
392,Santa Ynez Valley Union High,231.0,50.0,26.0,24.0,22.0,22.0,0.76,0.21645021645021645,16.91,13573.0,92708.0,0.006,0.006,0.003,0.003,0.465,0.0,0.469,0.047,0.0
394,Santa Barbara Unified,1669.0,395.0,25.0,25.0,24.0,24.0,0.72,0.2366686638705812,4.81,13495.0,77021.0,0.006999999999999999,0.003,0.027999999999999997,0.005,0.595,0.001,0.326,0.026000000000000002,0.011000000000000001
400,Campbell Union High,2023.0,403.0,27.0,26.0,25.0,26.0,0.8,0.19920909540286702,52.01,13624.0,118447.0,0.027000000000000003,0.004,0.187,0.023,0.33799999999999997,0.005,0.359,0.042,0.015
401,East Side Union High,6785.0,777.0,22.0,22.0,23.0,22.0,0.54,0.11451731761238025,32.15,13317.0,105274.0,0.018000000000000002,0.002,0.33,0.061,0.509,0.006,0.047,0.024,0.003
402,Fremont Union High,2761.0,872.0,30.0,31.0,31.0,29.0,0.94,0.3158275986961246,117.22,15994.0,154876.0,0.008,0.002,0.58,0.026000000000000002,0.147,0.003,0.154,0.061,0.02
403,Gilroy Unified,972.0,147.0,23.0,22.0,23.0,22.0,0.63,0.15123456790123457,24.01,12490.0,103388.0,0.013999999999999999,0.004,0.042,0.027999999999999997,0.708,0.002,0.14800000000000002,0.031,0.023
405,Morgan Hill Unified,636.0,115.0,24.0,24.0,24.0,23.0,0.77,0.18081761006289307,47.47,11628.0,125073.0,0.013999999999999999,0.005,0.08900000000000001,0.026000000000000002,0.505,0.003,0.28600000000000003,0.049,0.022000000000000002
406,Mountain View-Los Altos Union High,1061.0,342.0,28.0,29.0,28.0,28.0,0.87,0.3223374175306315,168.4,23203.0,156702.0,0.012,0.001,0.249,0.019,0.256,0.004,0.376,0.081,0.003
407,Palo Alto Unified,1020.0,454.0,29.0,29.0,28.0,28.0,0.87,0.44509803921568625,160.36,23038.0,151578.0,0.017,0.001,0.375,0.009000000000000001,0.139,0.01,0.33899999999999997,0.11,0.0
408,San Jose Unified,2648.0,443.0,25.0,25.0,25.0,25.0,0.71,0.16729607250755288,30.93,12414.0,108893.0,0.025,0.002,0.13699999999999998,0.019,0.529,0.003,0.22399999999999998,0.057999999999999996,0.003
409,Santa Clara Unified,1136.0,193.0,25.0,25.0,24.0,24.0,0.7,0.1698943661971831,105.7,19279.0,129906.0,0.025,0.005,0.317,0.06,0.33799999999999997,0.005,0.19,0.053,0.006999999999999999
410,Milpitas Unified,829.0,72.0,26.0,27.0,27.0,26.0,0.89,0.08685162846803378,61.17,12280.0,131954.0,0.017,0.003,0.529,0.149,0.19699999999999998,0.004,0.042,0.055999999999999994,0.002
413,Pajaro Valley Unified,1315.0,257.0,20.0,18.0,19.0,20.0,0.34,0.19543726235741446,0.74,15343.0,71880.0,0.004,0.002,0.006999999999999999,0.006,0.84,0.001,0.13,0.009000000000000001,0.002
414,San Lorenzo Valley Unified,244.0,25.0,26.0,26.0,24.0,25.0,0.76,0.10245901639344263,6.77,11012.0,98013.0,0.006,0.002,0.049,0.01,0.198,0.003,0.589,0.087,0.057
415,Santa Cruz City High,862.0,177.0,24.0,23.0,23.0,22.0,0.63,0.20533642691415313,46.82,287.0,111992.0,0.019,0.004,0.028999999999999998,0.008,0.385,0.002,0.512,0.04,0.0
416,Scotts Valley Unified,194.0,60.0,27.0,26.0,25.0,25.0,0.87,0.30927835051546393,28.71,10448.0,117083.0,0.003,0.003,0.067,0.01,0.179,0.001,0.621,0.11199999999999999,0.003
418,Anderson Union High,444.0,29.0,24.0,21.0,22.0,23.0,0.72,0.06531531531531531,39.02,12566.0,56332.0,0.008,0.057,0.034,0.002,0.195,0.001,0.654,0.034,0.015
419,Fall River Joint Unified,86.0,21.0,22.0,20.0,22.0,22.0,0.43,0.2441860465116279,37.24,14288.0,49037.0,0.0,0.077,0.002,0.001,0.268,0.003,0.58,0.055,0.016
421,Shasta Union High,1308.0,115.0,27.0,25.0,25.0,25.0,0.83,0.08792048929663608,36.66,12856.0,56631.0,0.013000000000000001,0.028999999999999998,0.048,0.006,0.14400000000000002,0.005,0.682,0.067,0.006999999999999999
427,Siskiyou Union High,150.0,29.0,21.0,21.0,19.0,19.0,0.48,0.19333333333333333,30.26,16023.0,45524.0,0.02,0.037000000000000005,0.019,0.006999999999999999,0.177,0.002,0.583,0.121,0.034
428,Yreka Union High,150.0,38.0,23.0,20.0,21.0,21.0,0.53,0.25333333333333335,32.74,15302.0,47294.0,0.004,0.05,0.03,0.0,0.174,0.003,0.627,0.096,0.016
430,Scott Valley Unified,45.0,27.0,20.0,20.0,21.0,21.0,0.41,0.6,29.7,14705.0,52536.0,0.005,0.09300000000000001,0.018000000000000002,0.0,0.11900000000000001,0.005,0.619,0.113,0.027999999999999997
432,Benicia Unified,406.0,67.0,27.0,26.0,25.0,25.0,0.84,0.16502463054187191,13.06,10914.0,103163.0,0.064,0.004,0.048,0.071,0.203,0.002,0.446,0.14300000000000002,0.021
433,Dixon Unified,310.0,67.0,21.0,20.0,21.0,20.0,0.51,0.2161290322580645,4.77,12277.0,83143.0,0.021,0.003,0.009000000000000001,0.015,0.581,0.005,0.284,0.046,0.036000000000000004
434,Fairfield-Suisun Unified,1560.0,94.0,24.0,23.0,22.0,23.0,0.63,0.06025641025641026,11.18,11182.0,83874.0,0.135,0.003,0.057999999999999996,0.09,0.452,0.011000000000000001,0.156,0.092,0.002
435,Travis Unified,419.0,40.0,25.0,23.0,23.0,24.0,0.7,0.0954653937947494,20.01,11362.0,106068.0,0.109,0.003,0.042,0.10099999999999999,0.271,0.011000000000000001,0.315,0.135,0.013999999999999999
436,Vacaville Unified,975.0,97.0,23.0,22.0,23.0,22.0,0.64,0.09948717948717949,7.69,11479.0,84968.0,0.057999999999999996,0.004,0.027999999999999997,0.035,0.39,0.006,0.385,0.09,0.005
437,Vallejo City Unified,994.0,71.0,20.0,18.0,18.0,19.0,0.31,0.07142857142857142,16.77,13268.0,69300.0,0.257,0.003,0.028999999999999998,0.138,0.45399999999999996,0.019,0.065,0.027999999999999997,0.005
439,West Sonoma County Union High,450.0,55.0,26.0,25.0,24.0,24.0,0.73,0.12222222222222222,3.87,14139.0,80223.0,0.017,0.013999999999999999,0.027000000000000003,0.005,0.253,0.001,0.642,0.042,0.0
448,Roseland,147.0,89.0,17.0,16.0,18.0,18.0,0.22,0.6054421768707483,45.44,24306.0,60140.0,0.006,0.005,0.01,0.002,0.941,0.0,0.024,0.01,0.002
450,Sonoma Valley Unified,293.0,47.0,25.0,24.0,23.0,23.0,0.66,0.16040955631399317,11.35,14357.0,84669.0,0.005,0.004,0.013999999999999999,0.005,0.603,0.002,0.337,0.016,0.015
452,Cotati-Rohnert Park Unified,529.0,73.0,24.0,23.0,22.0,22.0,0.6,0.13799621928166353,12.29,13081.0,73549.0,0.018000000000000002,0.006999999999999999,0.028999999999999998,0.01,0.41600000000000004,0.004,0.405,0.068,0.043
453,Windsor Unified,466.0,116.0,23.0,22.0,21.0,22.0,0.6,0.24892703862660945,25.15,12148.0,105938.0,0.006,0.006999999999999999,0.016,0.004,0.551,0.003,0.377,0.035,0.001
454,Healdsburg Unified,158.0,36.0,24.0,25.0,22.0,22.0,0.81,0.22784810126582278,52.57,18117.0,96381.0,0.004,0.009000000000000001,0.009000000000000001,0.002,0.632,0.002,0.335,0.008,0.0
456,Ceres Unified,1073.0,34.0,20.0,18.0,18.0,19.0,0.24,0.03168685927306617,34.78,12822.0,58193.0,0.016,0.004,0.049,0.005,0.7879999999999999,0.006,0.122,0.008,0.002
461,Patterson Joint Unified,458.0,15.0,24.0,22.0,21.0,21.0,0.47,0.03275109170305677,14.39,13614.0,69330.0,0.048,0.005,0.024,0.016,0.76,0.018000000000000002,0.099,0.013999999999999999,0.016
462,Newman-Crows Landing Unified,227.0,18.0,23.0,22.0,23.0,22.0,0.56,0.07929515418502203,24.47,13285.0,63512.0,0.016,0.002,0.006,0.008,0.7879999999999999,0.002,0.152,0.026000000000000002,0.0
465,Oakdale Joint Unified,437.0,38.0,24.0,24.0,23.0,23.0,0.68,0.08695652173913043,26.58,11208.0,72342.0,0.005,0.006,0.01,0.005,0.389,0.002,0.5479999999999999,0.033,0.001
467,Turlock Unified,1240.0,105.0,24.0,22.0,22.0,22.0,0.65,0.0846774193548387,37.52,12863.0,55962.0,0.02,0.006,0.055999999999999994,0.001,0.5920000000000001,0.005,0.294,0.013000000000000001,0.013000000000000001
470,Live Oak Unified,143.0,33.0,19.0,20.0,20.0,20.0,0.36,0.23076923076923078,38.89,12518.0,56667.0,0.008,0.009000000000000001,0.109,0.002,0.589,0.004,0.268,0.011000000000000001,0.0
474,Sutter Union High,189.0,22.0,25.0,22.0,24.0,23.0,0.77,0.1164021164021164,27.03,11227.0,71914.0,0.002,0.016,0.027999999999999997,0.001,0.275,0.001,0.619,0.057,0.0
476,Yuba City Unified,972.0,116.0,23.0,22.0,22.0,23.0,0.61,0.11934156378600823,32.6,13243.0,57703.0,0.017,0.006,0.198,0.005,0.46399999999999997,0.003,0.249,0.049,0.008
478,Corning Union High,228.0,113.0,18.0,18.0,18.0,17.0,0.29,0.4956140350877193,44.77,13720.0,46302.0,0.005,0.016,0.016,0.004,0.622,0.001,0.303,0.013000000000000001,0.02
479,Los Molinos Unified,37.0,38.0,17.0,15.0,17.0,17.0,0.24,1.027027027027027,41.34,14423.0,45326.0,0.004,0.018000000000000002,0.011000000000000001,0.0,0.52,0.0,0.401,0.04,0.006999999999999999
480,Red Bluff Joint Union High,372.0,151.0,20.0,19.0,20.0,20.0,0.42,0.40591397849462363,45.64,14141.0,43553.0,0.009000000000000001,0.027999999999999997,0.008,0.001,0.341,0.002,0.5710000000000001,0.04,0.001
483,Trinity Alps Unified,93.0,15.0,24.0,24.0,23.0,23.0,0.73,0.16129032258064516,33.82,15289.0,46559.0,0.0,0.055999999999999994,0.006999999999999999,0.0,0.085,0.003,0.735,0.086,0.027000000000000003
487,Cutler-Orosi Joint Unified,292.0,85.0,17.0,15.0,17.0,17.0,0.12,0.2910958904109589,53.54,13922.0,38797.0,0.0,0.001,0.001,0.027000000000000003,0.9590000000000001,0.0,0.01,0.0,0.0
490,Tulare Joint Union High,1284.0,177.0,20.0,19.0,20.0,19.0,0.36,0.1378504672897196,34.98,14165.0,51324.0,0.024,0.003,0.013000000000000001,0.004,0.7809999999999999,0.002,0.163,0.005,0.005
491,Visalia Unified,2216.0,187.0,22.0,21.0,21.0,22.0,0.55,0.08438628158844766,35.48,12279.0,60393.0,0.013999999999999999,0.005,0.040999999999999995,0.008,0.6970000000000001,0.002,0.18100000000000002,0.026000000000000002,0.027999999999999997
492,Farmersville Unified,216.0,46.0,18.0,16.0,17.0,17.0,0.17,0.21296296296296297,51.24,14092.0,39650.0,0.002,0.002,0.005,0.0,0.958,0.0,0.008,0.0,0.024
493,Porterville Unified,1665.0,283.0,19.0,18.0,19.0,19.0,0.31,0.16996996996996996,55.27,13584.0,39205.0,0.003,0.021,0.013999999999999999,0.008,0.825,0.004,0.107,0.01,0.008
494,Dinuba Unified,538.0,96.0,18.0,16.0,17.0,19.0,0.19,0.17843866171003717,55.74,12543.0,44065.0,0.004,0.004,0.011000000000000001,0.006999999999999999,0.937,0.001,0.037000000000000005,0.0,0.0
495,Woodlake Unified,168.0,30.0,18.0,18.0,19.0,18.0,0.27,0.17857142857142858,44.62,14047.0,44776.0,0.004,0.004,0.006999999999999999,0.0,0.912,0.0,0.07200000000000001,0.001,0.0
496,Exeter Unified,225.0,18.0,25.0,23.0,20.0,23.0,0.72,0.08,47.81,12964.0,47832.0,0.006,0.006,0.003,0.002,0.65,0.001,0.327,0.004,0.002
502,Fillmore Unified,298.0,29.0,24.0,23.0,23.0,23.0,0.66,0.09731543624161074,6.86,13555.0,75201.0,0.002,0.003,0.003,0.004,0.9259999999999999,0.0,0.057,0.006999999999999999,0.0
504,Ojai Unified,192.0,15.0,26.0,26.0,24.0,24.0,0.87,0.078125,10.9,12123.0,79371.0,0.008,0.002,0.013999999999999999,0.005,0.38,0.001,0.552,0.038,0.0
505,Oxnard Union High,4063.0,317.0,22.0,21.0,21.0,21.0,0.51,0.07802116662564608,4.77,13175.0,78649.0,0.012,0.001,0.021,0.033,0.79,0.002,0.115,0.026000000000000002,0.0
506,Simi Valley Unified,1416.0,159.0,25.0,25.0,24.0,24.0,0.77,0.11228813559322035,11.95,11607.0,98876.0,0.011000000000000001,0.001,0.08,0.021,0.4,0.001,0.436,0.047,0.003
507,Ventura Unified,1301.0,213.0,24.0,22.0,22.0,22.0,0.62,0.16372021521906227,12.82,12006.0,78534.0,0.011000000000000001,0.002,0.027000000000000003,0.006999999999999999,0.5489999999999999,0.001,0.36200000000000004,0.04,0.0
508,Conejo Valley Unified,1767.0,421.0,27.0,27.0,26.0,26.0,0.85,0.23825693265421619,24.8,11119.0,110829.0,0.013999999999999999,0.003,0.09,0.012,0.293,0.003,0.527,0.057999999999999996,0.0
509,Oak Park Unified,438.0,157.0,29.0,29.0,27.0,27.0,0.94,0.3584474885844749,49.39,10394.0,132665.0,0.018000000000000002,0.002,0.255,0.018000000000000002,0.10400000000000001,0.001,0.532,0.07,0.0
510,Moorpark Unified,505.0,112.0,25.0,24.0,24.0,24.0,0.79,0.22178217821782178,19.36,10939.0,107703.0,0.006999999999999999,0.001,0.049,0.01,0.503,0.0,0.379,0.05,0.0
511,Santa Paula Unified,429.0,126.0,20.0,18.0,19.0,20.0,0.35,0.2937062937062937,25.05,14021.0,59397.0,0.002,0.001,0.001,0.001,0.958,0.001,0.034,0.002,0.0
513,Davis Joint Unified,717.0,156.0,28.0,27.0,28.0,27.0,0.93,0.2175732217573222,20.53,12987.0,67918.0,0.028999999999999998,0.004,0.155,0.01,0.22699999999999998,0.003,0.49,0.075,0.006
517,Woodland Joint Unified,767.0,139.0,20.0,19.0,19.0,20.0,0.38,0.18122555410691005,23.57,12383.0,68687.0,0.013000000000000001,0.005,0.054000000000000006,0.006999999999999999,0.695,0.004,0.188,0.024,0.01
520,Marysville Joint Unified,602.0,42.0,20.0,18.0,19.0,19.0,0.4,0.06976744186046512,47.22,12248.0,51851.0,0.037000000000000005,0.018000000000000002,0.08800000000000001,0.005,0.452,0.003,0.34,0.046,0.01
521,Wheatland Union High,167.0,18.0,23.0,21.0,21.0,22.0,0.56,0.10778443113772455,6.49,12833.0,88694.0,0.034,0.012,0.035,0.013000000000000001,0.29600000000000004,0.012,0.45899999999999996,0.083,0.055999999999999994
