,district,students_in_grade_12_19,act_test_takers_19,act_read_19,act_eng_19,act_math_19,act_sci_19,act_comp_over_21_19,act_19_participation,students_in_grade_12_20,act_test_takers_20,act_eng_20,act_read_20,act_math_20,act_sci_20,act_comp_over_21_20,act_20_participation
489,Stone Corral Elementary,35.0,0.0,,,,,,0.0,44,1,,,,,,0.022727272727272728
490,Tulare Joint Union High,1284.0,177.0,20.0,19.0,20.0,19.0,0.36,0.1378504672897196,1328,136,18.0,21.0,20.0,20.0,0.42,0.10240963855421686
491,Visalia Unified,2216.0,187.0,22.0,21.0,21.0,22.0,0.55,0.08438628158844766,2155,147,23.0,24.0,23.0,23.0,0.69,0.06821345707656612
492,Farmersville Unified,216.0,46.0,18.0,16.0,17.0,17.0,0.17,0.21296296296296297,179,45,16.0,17.0,16.0,17.0,0.09,0.25139664804469275
493,Porterville Unified,1665.0,283.0,19.0,18.0,19.0,19.0,0.31,0.16996996996996996,1616,189,19.0,21.0,20.0,20.0,0.39,0.11695544554455446
494,Dinuba Unified,538.0,96.0,18.0,16.0,17.0,19.0,0.19,0.17843866171003717,544,40,18.0,20.0,20.0,19.0,0.4,0.07352941176470588
495,Woodlake Unified,168.0,30.0,18.0,18.0,19.0,18.0,0.27,0.17857142857142858,171,34,18.0,20.0,19.0,20.0,0.38,0.19883040935672514
496,Exeter Unified,225.0,18.0,25.0,23.0,20.0,23.0,0.72,0.08,233,10,,,,,,0.04291845493562232
497,Tuolumne County Superintendent of Schools,34.0,0.0,,,,,,0.0,25,0,,,,,,0.0
498,Sonora Union High,263.0,11.0,,,,,,0.04182509505703422,252,5,,,,,,0.01984126984126984
499,Summerville Union High,189.0,12.0,,,,,,0.06349206349206349,192,13,,,,,,0.06770833333333333
500,Big Oak Flat-Groveland Unified,32.0,0.0,,,,,,0.0,25,0,,,,,,0.0
501,Ventura County Office of Education,323.0,2.0,,,,,,0.006191950464396285,334,0,,,,,,0.0
502,Fillmore Unified,298.0,29.0,24.0,23.0,23.0,23.0,0.66,0.09731543624161074,279,17,19.0,20.0,23.0,21.0,0.53,0.06093189964157706
503,Mesa Union Elementary,18.0,1.0,,,,,,0.05555555555555555,19,3,,,,,,0.15789473684210525
504,Ojai Unified,192.0,15.0,26.0,26.0,24.0,24.0,0.87,0.078125,201,21,25.0,27.0,24.0,25.0,0.86,0.1044776119402985
505,Oxnard Union High,4063.0,317.0,22.0,21.0,21.0,21.0,0.51,0.07802116662564608,4095,275,21.0,22.0,22.0,21.0,0.53,0.06715506715506715
506,Pleasant Valley,,,,,,,,,109,0,,,,,,0.0
507,Simi Valley Unified,1416.0,159.0,25.0,25.0,24.0,24.0,0.77,0.11228813559322035,1491,114,26.0,26.0,25.0,25.0,0.85,0.07645875251509054
508,Ventura Unified,1301.0,213.0,24.0,22.0,22.0,22.0,0.62,0.16372021521906227,1185,184,23.0,24.0,23.0,23.0,0.64,0.15527426160337554
509,Conejo Valley Unified,1767.0,421.0,27.0,27.0,26.0,26.0,0.85,0.23825693265421619,1733,380,26.0,27.0,26.0,26.0,0.87,0.2192729371032891
510,Oak Park Unified,438.0,157.0,29.0,29.0,27.0,27.0,0.94,0.3584474885844749,404,138,30.0,29.0,27.0,27.0,0.96,0.3415841584158416
511,Moorpark Unified,505.0,112.0,25.0,24.0,24.0,24.0,0.79,0.22178217821782178,538,104,25.0,27.0,25.0,25.0,0.82,0.19330855018587362
512,Santa Paula Unified,429.0,126.0,20.0,18.0,19.0,20.0,0.35,0.2937062937062937,376,124,18.0,19.0,19.0,20.0,0.38,0.32978723404255317
513,Yolo County Office of Education,87.0,0.0,,,,,,0.0,54,0,,,,,,0.0
514,Davis Joint Unified,717.0,156.0,28.0,27.0,28.0,27.0,0.93,0.2175732217573222,737,180,28.0,28.0,28.0,27.0,0.95,0.24423337856173677
515,Esparto Unified,46.0,0.0,,,,,,0.0,93,3,,,,,,0.03225806451612903
516,Washington Unified,339.0,121.0,16.0,15.0,16.0,16.0,0.08,0.35693215339233036,520,69,19.0,21.0,20.0,20.0,0.42,0.1326923076923077
517,Washington Unified,563.0,54.0,21.0,19.0,20.0,20.0,0.43,0.09591474245115453,520,69,19.0,21.0,20.0,20.0,0.42,0.1326923076923077
518,Winters Joint Unified,119.0,6.0,,,,,,0.05042016806722689,143,10,,,,,,0.06993006993006994
519,Woodland Joint Unified,767.0,139.0,20.0,19.0,19.0,20.0,0.38,0.18122555410691005,749,78,20.0,21.0,20.0,20.0,0.45,0.1041388518024032
520,Yuba County Office of Education,166.0,0.0,,,,,,0.0,88,0,,,,,,0.0
521,Camptonville Elementary,42.0,4.0,,,,,,0.09523809523809523,44,3,,,,,,0.06818181818181818
522,Marysville Joint Unified,602.0,42.0,20.0,18.0,19.0,19.0,0.4,0.06976744186046512,641,28,22.0,23.0,21.0,22.0,0.54,0.0436817472698908
523,Wheatland Union High,167.0,18.0,23.0,21.0,21.0,22.0,0.56,0.10778443113772455,219,8,,,,,,0.0365296803652968
