,district,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
567,Nuview Union,30.0,12193,64877,0.022000000000000002,0.001,0.008,0.006,0.807,0.003,0.138,0.015,0.0
568,Oak Grove Elementary,42.24,12806,115302,0.028999999999999998,0.002,0.222,0.038,0.47600000000000003,0.006999999999999999,0.153,0.069,0.003
569,Oak Grove Union Elementary,45.96,13911,112527,0.013000000000000001,0.008,0.019,0.004,0.326,0.002,0.555,0.067,0.006
570,Oak Park Unified,49.39,10394,132665,0.018000000000000002,0.002,0.255,0.018000000000000002,0.10400000000000001,0.001,0.532,0.07,0.0
571,Oak Run Elementary,37.42,13456,53068,0.0,0.0,0.0,0.0,0.057,0.0,0.8490000000000001,0.094,0.0
572,Oak Valley Union Elementary,63.84,11407,43750,0.009000000000000001,0.017,0.0,0.003,0.76,0.0,0.207,0.0,0.003
573,Oak View Union Elementary,22.39,11285,75054,0.003,0.0,0.003,0.013999999999999999,0.499,0.008,0.41600000000000004,0.057999999999999996,0.0
574,Oakdale Joint Unified,26.58,11208,72342,0.005,0.006,0.01,0.005,0.389,0.002,0.5479999999999999,0.033,0.001
575,Oakland Unified,5.1,15652,73561,0.217,0.002,0.115,0.008,0.478,0.008,0.098,0.051,0.022000000000000002
576,Oakley Union Elementary,13.51,10720,104464,0.10400000000000001,0.006,0.034,0.048,0.46399999999999997,0.006999999999999999,0.32,0.011000000000000001,0.005
579,Oceanside Unified,23.89,13154,64597,0.039,0.003,0.017,0.024,0.564,0.017,0.254,0.07,0.013000000000000001
580,Ojai Unified,10.9,12123,79371,0.008,0.002,0.013999999999999999,0.005,0.38,0.001,0.552,0.038,0.0
581,Old Adobe Union,23.86,13559,97929,0.013000000000000001,0.002,0.022000000000000002,0.006,0.408,0.0,0.503,0.043,0.001
582,Ontario-Montclair,20.0,14721,59635,0.03,0.008,0.021,0.006,0.892,0.002,0.031,0.01,0.0
583,Orange Center,46.54,15286,37159,0.07200000000000001,0.013999999999999999,0.055,0.005,0.595,0.001,0.23800000000000002,0.018000000000000002,0.003
584,Orange Unified,11.98,11918,97336,0.013000000000000001,0.002,0.099,0.019,0.5660000000000001,0.003,0.255,0.032,0.011000000000000001
585,Orchard Elementary,64.46,13586,127854,0.049,0.009000000000000001,0.406,0.066,0.33,0.023,0.067,0.039,0.01
586,Orcutt Union Elementary,5.45,11083,88607,0.006,0.006,0.013999999999999999,0.013000000000000001,0.51,0.002,0.363,0.06,0.025
587,Orick Elementary,15.47,24708,35938,0.0,0.0,0.0,0.0,0.095,0.0,0.667,0.23800000000000002,0.0
588,Orinda Union Elementary,192.87,13473,223504,0.013000000000000001,0.003,0.203,0.015,0.057,0.0,0.609,0.08199999999999999,0.019
589,Orland Joint Unified,50.8,12312,48881,0.004,0.009000000000000001,0.02,0.002,0.662,0.0,0.29100000000000004,0.009000000000000001,0.001
590,Oro Grande,68.37,13285,31000,0.12,0.009000000000000001,0.005,0.003,0.596,0.004,0.20600000000000002,0.051,0.006
591,Oroville City Elementary,51.5,12884,45501,0.033,0.036000000000000004,0.08800000000000001,0.005,0.165,0.002,0.516,0.151,0.004
592,Oroville Union High,48.88,13883,42445,0.040999999999999995,0.078,0.127,0.006,0.21899999999999997,0.004,0.483,0.035,0.009000000000000001
593,Outside Creek Elementary,30.34,10883,71181,0.0,0.0,0.0,0.0,0.84,0.0,0.14300000000000002,0.008,0.008
594,Owens Valley Unified,42.83,27205,43702,0.0,0.159,0.0,0.0,0.49200000000000005,0.0,0.28600000000000003,0.032,0.032
595,Oxnard,10.24,13885,71043,0.009000000000000001,0.001,0.006999999999999999,0.013000000000000001,0.932,0.002,0.03,0.008,0.0
596,Oxnard Union High,4.77,13175,78649,0.012,0.001,0.021,0.033,0.79,0.002,0.115,0.026000000000000002,0.0
597,Pacheco Union Elementary,30.14,11172,69886,0.0,0.035,0.013999999999999999,0.005,0.128,0.003,0.7559999999999999,0.044000000000000004,0.016
598,Pacific Elementary,25.44,12547,66484,0.006999999999999999,0.0,0.021,0.0,0.255,0.0,0.624,0.071,0.021
599,Pacific Grove Unified,41.87,17672,90683,0.024,0.011000000000000001,0.09300000000000001,0.022000000000000002,0.213,0.008,0.5870000000000001,0.03,0.011000000000000001
602,Pacifica,46.98,11417,125760,0.009000000000000001,0.002,0.084,0.09,0.265,0.004,0.389,0.158,0.0
603,Pajaro Valley Unified,0.74,15343,71880,0.004,0.002,0.006999999999999999,0.006,0.84,0.001,0.13,0.009000000000000001,0.002
604,Palermo Union Elementary,58.42,12492,42336,0.008,0.040999999999999995,0.034,0.002,0.32899999999999996,0.002,0.46299999999999997,0.095,0.026000000000000002
605,Palm Springs Unified,34.32,14904,48120,0.045,0.005,0.008,0.019,0.799,0.001,0.099,0.025,0.0
606,Palmdale Elementary,31.19,13697,56472,0.136,0.006,0.005,0.006999999999999999,0.7709999999999999,0.002,0.052000000000000005,0.018000000000000002,0.002
607,Palo Alto Unified,160.36,23038,151578,0.017,0.001,0.375,0.009000000000000001,0.139,0.01,0.33899999999999997,0.11,0.0
608,Palo Verde Unified,50.71,13196,44527,0.122,0.006,0.013000000000000001,0.003,0.616,0.003,0.201,0.025,0.011000000000000001
609,Palo Verde Union Elementary,67.29,11515,40658,0.004,0.01,0.004,0.0,0.8909999999999999,0.002,0.076,0.004,0.01
610,Palos Verdes Peninsula Unified,89.27,12484,151740,0.02,0.002,0.27899999999999997,0.021,0.141,0.002,0.42700000000000005,0.09699999999999999,0.012
611,Panama-Buena Vista Union,23.69,11864,71198,0.086,0.004,0.09300000000000001,0.006,0.595,0.005,0.172,0.02,0.019
612,Panoche Elementary,279.12,63667,36250,0.0,0.0,0.0,0.0,0.857,0.0,0.14300000000000002,0.0,0.0
613,Paradise Unified,49.16,12089,51214,0.006,0.017,0.005,0.004,0.135,0.0,0.768,0.065,0.001
614,Paramount Unified,25.66,13949,59304,0.077,0.001,0.008,0.004,0.883,0.006,0.01,0.009000000000000001,0.001
615,Parlier Unified,56.01,14179,35680,0.001,0.004,0.001,0.0,0.982,0.0,0.008,0.0,0.003
616,Pasadena Unified,12.96,14190,86695,0.111,0.002,0.054000000000000006,0.019,0.578,0.002,0.191,0.037000000000000005,0.005
617,Paso Robles Joint Unified,26.04,12352,67018,0.012,0.003,0.006,0.002,0.561,0.001,0.379,0.025,0.012
618,Patterson Joint Unified,14.39,13614,69330,0.048,0.005,0.024,0.016,0.76,0.018000000000000002,0.099,0.013999999999999999,0.016
619,Peninsula Union,6.62,20229,41985,0.061,0.03,0.0,0.0,0.121,0.0,0.5760000000000001,0.182,0.03
620,Penn Valley Union Elementary,38.66,11570,61581,0.009000000000000001,0.012,0.011000000000000001,0.004,0.138,0.0,0.723,0.10300000000000001,0.0
621,Perris Elementary,39.08,13221,53010,0.064,0.001,0.005,0.003,0.887,0.002,0.026000000000000002,0.003,0.01
622,Perris Union High,39.82,13112,53010,0.053,0.002,0.013000000000000001,0.024,0.7120000000000001,0.004,0.147,0.044000000000000004,0.001
623,Piedmont City Unified,222.24,17680,224205,0.015,0.0,0.133,0.008,0.096,0.0,0.564,0.183,0.001
624,Pierce Joint Unified,41.82,11147,61359,0.009000000000000001,0.001,0.012,0.002,0.7829999999999999,0.001,0.17300000000000001,0.013000000000000001,0.005
625,Pine Ridge Elementary,93.83,25874,88125,0.022000000000000002,0.0,0.022000000000000002,0.0,0.17800000000000002,0.0,0.778,0.0,0.0
626,Piner-Olivet Union Elementary,36.23,15122,99269,0.026000000000000002,0.01,0.071,0.024,0.452,0.005,0.349,0.057,0.005
629,Pittsburg Unified,19.4,13431,66535,0.158,0.002,0.032,0.05,0.649,0.012,0.049,0.045,0.004
630,Pixley Union Elementary,48.07,15740,33750,0.013999999999999999,0.0,0.006,0.0,0.956,0.0,0.021,0.001,0.002
