,district,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
77,Blochman Union Elementary,4.52,11481,94000,0.01,0.002,0.008,0.006,0.261,0.002,0.617,0.07,0.023
78,Blue Lake Union Elementary,29.12,14899,51994,0.017,0.05,0.017,0.0,0.145,0.006,0.486,0.179,0.10099999999999999
79,Bogus Elementary,28.77,15278,50357,0.05,0.1,0.0,0.0,0.1,0.0,0.7,0.05,0.0
80,Bolinas-Stinson Union,272.39,52511,87083,0.024,0.012,0.0,0.0,0.23800000000000002,0.0,0.607,0.048,0.071
81,Bonita Unified,5.69,11358,87054,0.024,0.001,0.066,0.023,0.546,0.001,0.245,0.062,0.031
82,Bonny Doon Union Elementary,38.73,13485,109306,0.0,0.0,0.0,0.0,0.09300000000000001,0.0,0.897,0.009000000000000001,0.0
83,Bonsall Unified,16.13,11208,103966,0.015,0.055,0.02,0.016,0.375,0.005,0.415,0.08800000000000001,0.012
84,Borrego Springs Unified,10.83,18028,49883,0.047,0.005,0.005,0.009000000000000001,0.6970000000000001,0.002,0.18899999999999997,0.039,0.006999999999999999
85,Bradley Union Elementary,13.83,16324,76667,0.057999999999999996,0.0,0.0,0.0,0.174,0.0,0.71,0.057999999999999996,0.0
86,Brawley Elementary,48.41,13926,42573,0.008,0.001,0.002,0.001,0.955,0.0,0.027999999999999997,0.002,0.004
87,Brawley Union High,47.62,14081,42384,0.009000000000000001,0.0,0.004,0.003,0.937,0.0,0.043,0.003,0.0
88,Brea-Olinda Unified,2.23,10352,94654,0.015,0.001,0.247,0.034,0.382,0.003,0.27699999999999997,0.04,0.002
89,Brentwood Union Elementary,22.55,11198,108769,0.073,0.002,0.075,0.059000000000000004,0.327,0.006,0.342,0.076,0.040999999999999995
90,Bret Harte Union High,6.51,17977,62973,0.008,0.018000000000000002,0.011000000000000001,0.002,0.22,0.0,0.684,0.057999999999999996,0.0
91,Bridgeville Elementary,18.69,22655,48594,0.0,0.047,0.0,0.0,0.09300000000000001,0.0,0.698,0.163,0.0
92,Briggs Elementary,21.91,11837,72647,0.0,0.0,0.0,0.002,0.98,0.002,0.012,0.004,0.0
93,Brisbane Elementary,82.58,17981,119281,0.015,0.0,0.205,0.11599999999999999,0.28300000000000003,0.002,0.23800000000000002,0.11,0.032
94,Brittan Elementary,41.97,9220,70888,0.0,0.002,0.002,0.0,0.23399999999999999,0.0,0.696,0.066,0.0
95,Browns Elementary,25.21,12720,103125,0.008,0.0,0.063,0.0,0.32,0.016,0.461,0.133,0.0
96,Buckeye Union Elementary,23.21,10926,110615,0.015,0.004,0.06,0.013000000000000001,0.147,0.002,0.675,0.069,0.013999999999999999
97,Buellton Union Elementary,46.05,18315,90560,0.005,0.004,0.006999999999999999,0.0,0.495,0.002,0.385,0.051,0.051
98,Buena Park Elementary,9.04,13609,73313,0.03,0.002,0.162,0.047,0.667,0.005,0.055999999999999994,0.024,0.006
99,Buena Vista Elementary,68.66,10777,43333,0.02,0.0,0.0,0.0,0.7040000000000001,0.0,0.261,0.01,0.005
100,Burbank Unified,16.14,12056,75827,0.025,0.002,0.055999999999999994,0.036000000000000004,0.32899999999999996,0.001,0.475,0.053,0.023
101,Burlingame Elementary,54.52,11885,129006,0.003,0.001,0.267,0.03,0.156,0.004,0.40700000000000003,0.092,0.039
102,Burnt Ranch Elementary,24.86,17333,42969,0.015,0.19399999999999998,0.015,0.0,0.209,0.0,0.493,0.075,0.0
103,Burrel Union Elementary,33.0,15598,45625,0.0,0.0,0.015,0.0,0.9470000000000001,0.0,0.038,0.0,0.0
104,Burton Elementary,29.77,12564,63193,0.004,0.012,0.019,0.021,0.7490000000000001,0.002,0.152,0.013999999999999999,0.026000000000000002
105,Butte Valley Unified,53.4,14772,34648,0.004,0.013999999999999999,0.04,0.0,0.5429999999999999,0.0,0.355,0.036000000000000004,0.006999999999999999
106,Butteville Union Elementary,36.85,10482,68365,0.012,0.0,0.0,0.006,0.139,0.012,0.715,0.115,0.0
107,Buttonwillow Union Elementary,38.84,16074,38917,0.023,0.006,0.006,0.0,0.893,0.0,0.071,0.0,0.0
108,Byron Union Elementary,52.2,11896,127233,0.057,0.013999999999999999,0.038,0.006,0.284,0.01,0.518,0.069,0.005
109,Cabrillo Unified,67.45,12773,134138,0.003,0.0,0.013000000000000001,0.009000000000000001,0.522,0.001,0.401,0.05,0.0
110,Cajon Valley Union,23.71,13136,64818,0.062,0.002,0.036000000000000004,0.004,0.37799999999999995,0.008,0.43799999999999994,0.026000000000000002,0.047
111,Calaveras Unified,28.76,12559,63967,0.006999999999999999,0.016,0.006999999999999999,0.004,0.231,0.0,0.664,0.065,0.006999999999999999
112,Calexico Unified,46.92,13961,43504,0.001,0.0,0.002,0.0,0.991,0.0,0.004,0.0,0.002
113,Caliente Union Elementary,40.49,16122,37452,0.02,0.039,0.0,0.0,0.255,0.0,0.667,0.02,0.0
114,Calipatria Unified,53.92,15099,32625,0.02,0.0,0.001,0.004,0.895,0.0,0.073,0.006999999999999999,0.0
115,Calistoga Joint Unified,53.13,20461,85067,0.002,0.001,0.002,0.009000000000000001,0.856,0.001,0.11,0.0,0.017
116,Cambrian,43.6,11134,124674,0.022000000000000002,0.003,0.218,0.021,0.237,0.003,0.371,0.11699999999999999,0.009000000000000001
117,Camino Union Elementary,33.97,11694,64438,0.005,0.031,0.0,0.006999999999999999,0.292,0.002,0.614,0.047,0.002
118,Campbell Union,35.49,13527,106695,0.033,0.002,0.16399999999999998,0.021,0.47100000000000003,0.003,0.223,0.068,0.013999999999999999
119,Campbell Union High,52.01,13624,118447,0.027000000000000003,0.004,0.187,0.023,0.33799999999999997,0.005,0.359,0.042,0.015
120,Camptonville Elementary,40.91,18042,88125,0.026000000000000002,0.017,0.016,0.0,0.184,0.0,0.642,0.1,0.016
121,Canyon Elementary,28.35,13559,101250,0.0,0.0,0.027999999999999997,0.0,0.19399999999999998,0.0,0.625,0.139,0.013999999999999999
122,Capay Joint Union Elementary,54.16,9312,61406,0.0,0.0,0.0,0.0,0.374,0.0,0.609,0.011000000000000001,0.006
123,Capistrano Unified,28.42,10665,115783,0.013999999999999999,0.002,0.066,0.019,0.27399999999999997,0.001,0.524,0.076,0.024
124,Cardiff Elementary,58.54,16099,110898,0.003,0.0,0.017,0.003,0.177,0.0,0.68,0.071,0.047
125,Carlsbad Unified,10.93,11270,99805,0.01,0.003,0.057999999999999996,0.008,0.276,0.002,0.5539999999999999,0.09,0.0
126,Carmel Unified,88.29,24026,93269,0.005,0.001,0.047,0.005,0.195,0.001,0.628,0.10099999999999999,0.017
127,Carpinteria Unified,10.24,14972,80771,0.001,0.001,0.01,0.003,0.7490000000000001,0.0,0.22,0.013999999999999999,0.001
128,Caruthers Unified,44.92,13779,45893,0.003,0.005,0.038,0.0,0.853,0.002,0.092,0.006999999999999999,0.0
129,Cascade Union Elementary,41.33,14765,43624,0.015,0.057999999999999996,0.034,0.006,0.27399999999999997,0.004,0.546,0.049,0.013999999999999999
130,Castaic Union,25.63,10823,112926,0.02,0.0,0.036000000000000004,0.035,0.47,0.001,0.387,0.052000000000000005,0.0
131,Castle Rock Union Elementary,33.47,15625,45139,0.0,0.055,0.018000000000000002,0.0,0.218,0.0,0.655,0.055,0.0
132,Castro Valley Unified,34.46,11860,114277,0.049,0.001,0.295,0.046,0.23399999999999999,0.004,0.243,0.1,0.027999999999999997
133,Cayucos Elementary,20.77,19756,64635,0.0,0.0,0.0,0.0,0.235,0.0,0.6729999999999999,0.062,0.031
134,Center Joint Unified,9.48,12916,76455,0.11599999999999999,0.006999999999999999,0.075,0.027999999999999997,0.312,0.013000000000000001,0.37,0.078,0.001
135,Centinela Valley Union High,15.12,16522,54242,0.147,0.002,0.023,0.008,0.767,0.008,0.018000000000000002,0.025,0.003
136,Central Elementary,28.18,11154,71427,0.10800000000000001,0.001,0.057999999999999996,0.022000000000000002,0.547,0.003,0.2,0.05,0.011000000000000001
137,Central Unified,32.81,11995,63792,0.084,0.004,0.15,0.009000000000000001,0.607,0.002,0.127,0.017,0.0
138,Central Union Elementary,24.75,15290,53275,0.071,0.048,0.008,0.034,0.41600000000000004,0.006999999999999999,0.297,0.11800000000000001,0.001
139,Central Union High,41.9,13804,48005,0.006,0.002,0.006,0.001,0.953,0.0,0.028999999999999998,0.002,0.001
140,Centralia Elementary,3.13,13146,80010,0.027000000000000003,0.002,0.179,0.086,0.517,0.005,0.129,0.040999999999999995,0.015
141,Ceres Unified,34.78,12822,58193,0.016,0.004,0.049,0.005,0.7879999999999999,0.006,0.122,0.008,0.002
142,Chaffey Joint Union High,6.2,13298,76972,0.07400000000000001,0.004,0.068,0.021,0.647,0.005,0.153,0.024,0.004
143,Charter Oak Unified,2.88,12980,81022,0.025,0.005,0.049,0.026000000000000002,0.711,0.001,0.15,0.031,0.0
144,Chatom Union,43.51,13495,48363,0.002,0.003,0.003,0.0,0.627,0.0,0.344,0.019,0.002
145,Chawanakee Unified,37.27,11561,62656,0.006,0.065,0.015,0.0,0.22899999999999998,0.001,0.603,0.055999999999999994,0.027000000000000003
146,Chicago Park Elementary,41.88,10536,64375,0.0,0.006999999999999999,0.013000000000000001,0.0,0.17600000000000002,0.0,0.797,0.006999999999999999,0.0
147,Chico Unified,32.0,13350,57611,0.021,0.012,0.045,0.005,0.256,0.004,0.574,0.062,0.021
148,Chino Valley Unified,0.05,10931,93442,0.037000000000000005,0.002,0.184,0.048,0.5579999999999999,0.003,0.13699999999999998,0.026000000000000002,0.006
149,Chowchilla Elementary,49.1,11427,54571,0.021,0.006999999999999999,0.016,0.004,0.698,0.002,0.23800000000000002,0.015,0.0
150,Chowchilla Union High,40.67,12769,54094,0.006999999999999999,0.005,0.026000000000000002,0.003,0.659,0.001,0.28,0.02,0.0
151,Chualar Union,33.03,14107,53059,0.0,0.0,0.0,0.0,0.997,0.0,0.003,0.0,0.0
152,Chula Vista Elementary,16.09,10900,81646,0.037000000000000005,0.002,0.024,0.092,0.7040000000000001,0.003,0.096,0.037000000000000005,0.005
153,Cienega Union Elementary,2.18,14600,73438,0.0,0.0,0.0,0.0,0.517,0.0,0.483,0.0,0.0
154,Cinnabar Elementary,29.04,15910,90000,0.024,0.0,0.0,0.0,0.705,0.008,0.239,0.024,0.0
155,Claremont Unified,13.58,12213,97052,0.044000000000000004,0.002,0.10400000000000001,0.016,0.441,0.001,0.313,0.062,0.016
156,Clay Joint Elementary,53.37,10109,58000,0.0,0.0,0.023,0.0,0.307,0.005,0.633,0.019,0.013999999999999999
157,Clear Creek Elementary,34.65,10656,69125,0.0,0.019,0.0,0.006,0.13,0.0,0.728,0.11699999999999999,0.0
158,Cloverdale Unified,8.51,13820,72649,0.002,0.028999999999999998,0.009000000000000001,0.0,0.605,0.0,0.321,0.025,0.009000000000000001
159,Clovis Unified,8.38,11404,84832,0.032,0.006,0.14800000000000002,0.022000000000000002,0.392,0.003,0.36200000000000004,0.035,0.0
160,Coachella Valley Unified,50.09,14846,36729,0.002,0.005,0.001,0.0,0.9790000000000001,0.0,0.01,0.002,0.002
161,Coalinga-Huron Unified,47.59,13147,47078,0.01,0.003,0.015,0.004,0.818,0.0,0.09300000000000001,0.008,0.048
162,Coast Unified,40.27,21927,68214,0.0,0.002,0.002,0.002,0.733,0.0,0.226,0.021,0.015
163,Coffee Creek Elementary,71.16,30556,47917,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.125,0.0
164,Cold Spring Elementary,161.82,23320,151250,0.0,0.0,0.017,0.0,0.055999999999999994,0.0,0.787,0.051,0.09
165,Colfax Elementary,32.82,12731,60101,0.0,0.018000000000000002,0.003,0.006,0.10800000000000001,0.0,0.792,0.067,0.006
166,College Elementary,29.04,17387,82614,0.009000000000000001,0.024,0.009000000000000001,0.0,0.467,0.0,0.43200000000000005,0.054000000000000006,0.006
167,Colton Joint Unified,31.33,12720,61254,0.052000000000000005,0.001,0.013999999999999999,0.006999999999999999,0.865,0.002,0.05,0.009000000000000001,0.0
168,Columbia Elementary,23.04,12956,66212,0.006,0.018000000000000002,0.02,0.003,0.115,0.002,0.736,0.08800000000000001,0.013000000000000001
169,Columbia Union,65.62,11581,41563,0.021,0.027999999999999997,0.005,0.013999999999999999,0.19899999999999998,0.005,0.6559999999999999,0.016,0.057999999999999996
170,Columbine Elementary,69.6,10505,44000,0.0,0.0,0.043,0.027000000000000003,0.882,0.0,0.032,0.016,0.0
171,Colusa Unified,48.93,11553,54067,0.01,0.032,0.012,0.001,0.725,0.004,0.207,0.009000000000000001,0.0
172,Compton Unified,23.51,15206,54613,0.193,0.002,0.001,0.0,0.7829999999999999,0.005,0.002,0.004,0.01
173,Conejo Valley Unified,24.8,11119,110829,0.013999999999999999,0.003,0.09,0.012,0.293,0.003,0.527,0.057999999999999996,0.0
174,Corcoran Joint Unified,59.26,13054,38906,0.025,0.002,0.004,0.003,0.917,0.001,0.046,0.001,0.001
175,Corning Union Elementary,55.13,12275,45864,0.008,0.015,0.013999999999999999,0.002,0.706,0.001,0.25,0.005,0.0
176,Corning Union High,44.77,13720,46302,0.005,0.016,0.016,0.004,0.622,0.001,0.303,0.013000000000000001,0.02
177,Corona-Norco Unified,6.54,11658,94613,0.057999999999999996,0.003,0.113,0.032,0.536,0.004,0.225,0.021,0.006999999999999999
178,Coronado Unified,41.4,13948,108967,0.01,0.003,0.013999999999999999,0.018000000000000002,0.22699999999999998,0.005,0.581,0.08199999999999999,0.06
179,Cotati-Rohnert Park Unified,12.29,13081,73549,0.018000000000000002,0.006999999999999999,0.028999999999999998,0.01,0.41600000000000004,0.004,0.405,0.068,0.043
180,Cottonwood Union Elementary,41.74,11968,57312,0.009000000000000001,0.043,0.006,0.0,0.14800000000000002,0.003,0.711,0.046,0.034
181,Covina-Valley Unified,7.78,13698,73801,0.027000000000000003,0.003,0.069,0.03,0.7879999999999999,0.002,0.069,0.012,0.002
182,Cucamonga Elementary,16.91,13979,65634,0.142,0.003,0.027999999999999997,0.02,0.701,0.004,0.086,0.016,0.0
183,Cuddeback Union Elementary,31.97,11604,66364,0.0,0.053,0.0,0.0,0.17300000000000001,0.0,0.654,0.105,0.015
184,Culver City Unified,9.09,11949,95044,0.11599999999999999,0.001,0.106,0.015,0.371,0.003,0.258,0.12,0.009000000000000001
185,Cupertino Union,109.98,12291,168037,0.005,0.003,0.7240000000000001,0.012,0.053,0.001,0.133,0.044000000000000004,0.025
186,Curtis Creek Elementary,36.64,11436,63750,0.006999999999999999,0.019,0.005,0.005,0.195,0.005,0.722,0.019,0.026000000000000002
187,Cutler-Orosi Joint Unified,53.54,13922,38797,0.0,0.001,0.001,0.027000000000000003,0.9590000000000001,0.0,0.01,0.0,0.0
188,Cutten Elementary,52.48,9930,59557,0.003,0.045,0.033,0.002,0.13699999999999998,0.002,0.617,0.162,0.0
189,Cuyama Joint Unified,9.27,19155,45395,0.008,0.004,0.012,0.0,0.6629999999999999,0.0,0.271,0.039,0.004
190,Cypress Elementary,5.77,11127,96702,0.025,0.002,0.375,0.055,0.282,0.006,0.19399999999999998,0.061,0.0
191,Davis Joint Unified,20.53,12987,67918,0.028999999999999998,0.004,0.155,0.01,0.22699999999999998,0.003,0.49,0.075,0.006
192,Death Valley Unified,182.67,49857,33922,0.1,0.0,0.0,0.0,0.45,0.0,0.25,0.1,0.1
193,Dehesa Elementary,135.2,28138,107429,0.03,0.006,0.048,0.01,0.27899999999999997,0.003,0.516,0.083,0.025
194,Del Mar Union Elementary,110.58,15584,152009,0.013999999999999999,0.001,0.34299999999999997,0.012,0.113,0.001,0.452,0.062,0.002
195,Del Norte County Unified,47.29,13551,45283,0.006999999999999999,0.14400000000000002,0.045,0.005,0.23,0.001,0.499,0.07,0.0
196,Delano Joint Union High,47.94,14460,40251,0.004,0.001,0.008,0.09,0.878,0.001,0.015,0.003,0.0
197,Delano Union Elementary,39.72,14966,43811,0.004,0.002,0.008,0.09,0.87,0.0,0.012,0.006,0.006999999999999999
198,Delhi Unified,27.32,13804,58800,0.001,0.002,0.025,0.001,0.9109999999999999,0.002,0.052000000000000005,0.004,0.003
199,Delphic Elementary,22.36,13550,63750,0.0,0.068,0.0,0.0,0.085,0.0,0.593,0.16899999999999998,0.085
200,Denair Unified,15.74,13962,89897,0.008,0.12,0.006999999999999999,0.003,0.225,0.001,0.586,0.024,0.027000000000000003
201,Desert Center Unified,140.1,43862,32396,0.0,0.05,0.0,0.0,0.6,0.0,0.25,0.1,0.0
202,Desert Sands Unified,31.78,13157,58738,0.015,0.002,0.02,0.006999999999999999,0.746,0.001,0.171,0.02,0.019
203,Di Giorgio Elementary,74.26,11906,33542,0.0,0.0,0.0,0.0,0.97,0.0,0.025,0.005,0.0
204,Dinuba Unified,55.74,12543,44065,0.004,0.004,0.011000000000000001,0.006999999999999999,0.937,0.001,0.037000000000000005,0.0,0.0
205,Dixon Unified,4.77,12277,83143,0.021,0.003,0.009000000000000001,0.015,0.581,0.005,0.284,0.046,0.036000000000000004
206,Dos Palos Oro Loma Joint Unified,50.92,13281,43942,0.022000000000000002,0.015,0.002,0.001,0.8290000000000001,0.002,0.12300000000000001,0.002,0.004
207,Douglas City Elementary,57.73,12331,43654,0.0,0.018000000000000002,0.07,0.0,0.14,0.0,0.696,0.076,0.0
208,Downey Unified,8.08,13423,74957,0.028999999999999998,0.001,0.018000000000000002,0.008,0.89,0.002,0.045,0.006999999999999999,0.0
209,Dry Creek Joint Elementary,7.63,10534,89743,0.036000000000000004,0.005,0.087,0.02,0.233,0.006999999999999999,0.5,0.111,0.001
210,Duarte Unified,1.68,14365,74984,0.05,0.001,0.057999999999999996,0.028999999999999998,0.672,0.002,0.125,0.036000000000000004,0.027000000000000003
211,Dublin Unified,76.64,10903,150299,0.028999999999999998,0.001,0.58,0.05,0.09300000000000001,0.004,0.17,0.073,0.001
212,Ducor Union Elementary,66.8,13542,30882,0.0,0.006999999999999999,0.0,0.0,0.937,0.0,0.055999999999999994,0.0,0.0
213,Dunham Elementary,12.88,12768,93750,0.0,0.0,0.006,0.0,0.18600000000000003,0.0,0.731,0.064,0.013000000000000001
214,Dunsmuir Elementary,48.69,15456,34716,0.0,0.037000000000000005,0.07400000000000001,0.0,0.16,0.0,0.667,0.062,0.0
215,Dunsmuir Joint Union High,74.55,33459,35905,0.0,0.07400000000000001,0.019,0.0,0.185,0.0,0.593,0.111,0.019
216,Durham Unified,22.13,11501,74167,0.004,0.006,0.005,0.0,0.235,0.0,0.6970000000000001,0.051,0.001
217,Earlimart Elementary,60.87,13977,33092,0.002,0.0,0.003,0.015,0.97,0.0,0.004,0.0,0.006
218,East Nicolaus Joint Union High,23.2,12096,70400,0.013000000000000001,0.01,0.036000000000000004,0.003,0.188,0.01,0.657,0.045,0.039
219,East Side Union High,32.15,13317,105274,0.018000000000000002,0.002,0.33,0.061,0.509,0.006,0.047,0.024,0.003
220,East Whittier City Elementary,1.86,12032,86520,0.009000000000000001,0.001,0.015,0.01,0.838,0.001,0.095,0.016,0.016
221,Eastern Sierra Unified,61.99,26846,59688,0.005,0.053,0.0,0.0,0.413,0.0,0.518,0.003,0.01
222,Eastside Union Elementary,41.83,13496,49603,0.22699999999999998,0.002,0.003,0.012,0.66,0.003,0.063,0.028999999999999998,0.001
223,Edison Elementary,11.01,14633,66731,0.025,0.012,0.004,0.0,0.8270000000000001,0.0,0.092,0.016,0.025
224,El Centro Elementary,49.35,13513,43948,0.009000000000000001,0.001,0.004,0.001,0.9520000000000001,0.0,0.023,0.004,0.006
225,El Dorado Union High,5.97,12260,91182,0.01,0.009000000000000001,0.053,0.013999999999999999,0.17600000000000002,0.003,0.6759999999999999,0.055999999999999994,0.002
226,El Monte City,18.27,16558,51723,0.005,0.0,0.179,0.006,0.7979999999999999,0.001,0.009000000000000001,0.002,0.0
227,El Monte Union High,25.52,15285,52729,0.003,0.0,0.196,0.006,0.7809999999999999,0.0,0.011000000000000001,0.002,0.002
228,El Nido Elementary,32.09,14028,54148,0.0,0.006,0.013000000000000001,0.0,0.885,0.0,0.08900000000000001,0.006,0.0
229,El Rancho Unified,19.31,13058,68467,0.005,0.0,0.004,0.004,0.9740000000000001,0.001,0.01,0.003,0.0
230,El Segundo Unified,26.38,11604,109577,0.039,0.002,0.076,0.015,0.22399999999999998,0.003,0.484,0.156,0.0
231,El Tejon Unified,51.07,12635,47066,0.006,0.01,0.006,0.006999999999999999,0.446,0.001,0.485,0.024,0.013999999999999999
232,Elk Grove Unified,7.49,12557,79728,0.109,0.004,0.265,0.059000000000000004,0.276,0.018000000000000002,0.175,0.09300000000000001,0.0
233,Elk Hills Elementary,68.01,10791,43750,0.006,0.0,0.0,0.0,0.08199999999999999,0.0,0.895,0.018000000000000002,0.0
235,Elverta Joint Elementary,7.09,12239,81613,0.07400000000000001,0.011000000000000001,0.026000000000000002,0.004,0.395,0.0,0.39899999999999997,0.092,0.0
236,Emery Unified,60.88,18079,102725,0.451,0.003,0.11,0.009000000000000001,0.242,0.011000000000000001,0.086,0.08,0.006999999999999999
237,Empire Union Elementary,30.81,13157,59458,0.038,0.002,0.037000000000000005,0.006999999999999999,0.6579999999999999,0.009000000000000001,0.20600000000000002,0.034,0.009000000000000001
238,Encinitas Union Elementary,57.22,12838,126239,0.006,0.004,0.040999999999999995,0.008,0.215,0.002,0.6609999999999999,0.046,0.017
239,Enterprise Elementary,33.63,13571,55296,0.015,0.021,0.07400000000000001,0.001,0.183,0.004,0.56,0.10099999999999999,0.042
240,Escalon Unified,31.86,10769,70625,0.006,0.002,0.012,0.004,0.478,0.001,0.469,0.02,0.006999999999999999
241,Escondido Union,14.78,13957,67323,0.013999999999999999,0.002,0.024,0.016,0.7,0.001,0.19399999999999998,0.037000000000000005,0.012
242,Escondido Union High,6.72,14895,68598,0.016,0.003,0.027999999999999997,0.019,0.659,0.001,0.242,0.023,0.009000000000000001
243,Esparto Unified,3.71,14026,75176,0.03,0.013999999999999999,0.006,0.005,0.758,0.0,0.168,0.018000000000000002,0.0
244,Etiwanda Elementary,26.93,11243,111790,0.085,0.002,0.142,0.040999999999999995,0.445,0.003,0.207,0.054000000000000006,0.02
245,Eureka City Schools,51.35,12986,45100,0.019,0.057,0.114,0.005,0.24100000000000002,0.013999999999999999,0.442,0.107,0.001
246,Eureka Union,42.78,10943,125027,0.017,0.004,0.099,0.017,0.13699999999999998,0.002,0.5920000000000001,0.096,0.037000000000000005
247,Evergreen Elementary,58.66,11309,134950,0.013000000000000001,0.004,0.569,0.07,0.245,0.004,0.049,0.043,0.004
248,Evergreen Union,54.06,11684,49611,0.003,0.021,0.011000000000000001,0.002,0.166,0.001,0.742,0.054000000000000006,0.0
249,Exeter Unified,47.81,12964,47832,0.006,0.006,0.003,0.002,0.65,0.001,0.327,0.004,0.002
250,Fairfax Elementary,55.69,12898,42329,0.027999999999999997,0.002,0.016,0.002,0.892,0.0,0.043,0.009000000000000001,0.009000000000000001
251,Fairfield-Suisun Unified,11.18,11182,83874,0.135,0.003,0.057999999999999996,0.09,0.452,0.011000000000000001,0.156,0.092,0.002
252,Fall River Joint Unified,37.24,14288,49037,0.0,0.077,0.002,0.001,0.268,0.003,0.58,0.055,0.016
253,Fallbrook Union Elementary,13.48,13864,68750,0.021,0.001,0.006999999999999999,0.004,0.653,0.003,0.265,0.046,0.0
254,Fallbrook Union High,6.36,14957,68553,0.013000000000000001,0.002,0.011000000000000001,0.006,0.6779999999999999,0.003,0.255,0.023,0.009000000000000001
255,Farmersville Unified,51.24,14092,39650,0.002,0.002,0.005,0.0,0.958,0.0,0.008,0.0,0.024
257,Ferndale Unified,30.76,14846,51045,0.004,0.055,0.004,0.0,0.209,0.0,0.703,0.02,0.004
258,Fieldbrook Elementary,28.42,11168,71176,0.017,0.078,0.009000000000000001,0.009000000000000001,0.034,0.0,0.75,0.086,0.017
259,Fillmore Unified,6.86,13555,75201,0.002,0.003,0.003,0.004,0.9259999999999999,0.0,0.057,0.006999999999999999,0.0
260,Firebaugh-Las Deltas Unified,48.98,14738,38094,0.0,0.0,0.002,0.0,0.963,0.002,0.032,0.0,0.0
261,Flournoy Union Elementary,47.92,12714,49000,0.0,0.0,0.0,0.0,0.16699999999999998,0.0,0.7859999999999999,0.048,0.0
262,Folsom-Cordova Unified,1.13,11775,88346,0.047,0.003,0.183,0.023,0.22699999999999998,0.008,0.41600000000000004,0.092,0.002
263,Fontana Unified,12.93,15045,63253,0.049,0.001,0.015,0.011000000000000001,0.8740000000000001,0.002,0.038,0.011000000000000001,0.0
264,Foresthill Union Elementary,8.83,12150,80772,0.015,0.005,0.005,0.003,0.122,0.008,0.7859999999999999,0.031,0.026000000000000002
265,Forestville Union Elementary,17.28,18772,66971,0.004,0.0,0.0,0.0,0.33299999999999996,0.0,0.614,0.049,0.0
267,Fort Bragg Unified,36.4,14147,50363,0.004,0.008,0.008,0.0,0.447,0.0,0.44299999999999995,0.057,0.031
268,Fort Ross Elementary,115.92,34952,59063,0.0,0.0,0.0,0.0,0.273,0.0,0.455,0.273,0.0
269,Fort Sage Unified,45.77,12458,51875,0.024,0.018000000000000002,0.002,0.0,0.16399999999999998,0.002,0.727,0.059000000000000004,0.004
270,Fortuna Elementary,49.07,13054,46453,0.003,0.034,0.004,0.002,0.363,0.0,0.521,0.069,0.004
271,Fortuna Union High,46.46,13320,47053,0.004,0.044000000000000004,0.011000000000000001,0.002,0.27,0.001,0.602,0.064,0.003
272,Fountain Valley Elementary,0.95,10331,97113,0.006,0.002,0.361,0.013999999999999999,0.185,0.005,0.337,0.071,0.019
273,Fowler Unified,40.26,13169,52399,0.006999999999999999,0.003,0.09,0.0,0.81,0.0,0.081,0.008,0.0
274,Franklin Elementary,26.04,9788,79844,0.004,0.013000000000000001,0.10800000000000001,0.0,0.231,0.002,0.55,0.084,0.009000000000000001
276,Fremont Unified,58.64,11629,133339,0.018000000000000002,0.003,0.6579999999999999,0.047,0.142,0.006,0.09,0.03,0.008
277,Fremont Union High,117.22,15994,154876,0.008,0.002,0.58,0.026000000000000002,0.147,0.003,0.154,0.061,0.02
278,French Gulch-Whiskeytown Elementary,2.58,20522,43516,0.0,0.133,0.0,0.0,0.067,0.0,0.7,0.1,0.0
279,Freshwater Elementary,33.18,13343,56771,0.003,0.034,0.003,0.0,0.142,0.003,0.737,0.077,0.0
280,Fresno Unified,44.87,14625,41704,0.08,0.006,0.107,0.004,0.687,0.004,0.08800000000000001,0.025,0.0
281,Fruitvale Elementary,28.98,10490,74154,0.040999999999999995,0.013999999999999999,0.027000000000000003,0.032,0.431,0.003,0.423,0.028999999999999998,0.0
282,Fullerton Elementary,5.77,12242,82576,0.013999999999999999,0.003,0.23,0.022000000000000002,0.51,0.001,0.162,0.057,0.0
283,Fullerton Joint Union High,8.97,12063,81100,0.018000000000000002,0.002,0.185,0.035,0.584,0.003,0.135,0.037000000000000005,0.001
284,Galt Joint Union Elementary,15.98,12064,75907,0.013999999999999999,0.005,0.028999999999999998,0.012,0.593,0.006,0.321,0.02,0.002
285,Galt Joint Union High,2.08,14169,75670,0.013999999999999999,0.0,0.021,0.004,0.57,0.001,0.33399999999999996,0.046,0.008
286,Garden Grove Unified,15.49,13564,68762,0.006,0.001,0.354,0.011000000000000001,0.53,0.004,0.067,0.015,0.012
287,Garfield Elementary,17.88,13453,94028,0.0,0.0,0.0,0.0,0.052000000000000005,0.0,0.879,0.069,0.0
288,Garvey Elementary,15.94,16755,52463,0.004,0.001,0.59,0.013000000000000001,0.36,0.001,0.011000000000000001,0.012,0.009000000000000001
289,Gateway Unified,31.08,15276,48654,0.017,0.062,0.032,0.001,0.16,0.002,0.654,0.066,0.006
290,Gazelle Union Elementary,39.74,15000,43625,0.053,0.079,0.0,0.0,0.053,0.0,0.684,0.079,0.053
