,district,students_in_grade_12_20,sat_20_grade_12_takers,sat_20_grade_12_at_erwb_benchmark,sat_20_grade_12_at_math_benchmark,students_in_grade_11_20,sat_20_grade_11_takers,sat_20_grade_11_at_erwb_benchmark,sat_20_grade_11_at_math_benchmark,sat_20_grade_12_at_both_benchmarks,sat_20_grade_11_at_both_benchmarks,sat_20_g12_participation,sat_20_g11_Participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
92,Coalinga-Huron Unified,304,70,0.5857,0.3,312,31,0.7419,0.5806,0.3,0.4839,0.23026315789473684,0.09935897435897435,47.59,13147.0,47078.0,0.01,0.003,0.015,0.004,0.818,0.0,0.09300000000000001,0.008,0.048
94,Claremont Unified,589,266,0.8797,0.6729,606,76,0.9868000000000001,0.9211,0.6654000000000001,0.9211,0.45161290322580644,0.1254125412541254,13.58,12213.0,97052.0,0.044000000000000004,0.002,0.10400000000000001,0.016,0.441,0.001,0.313,0.062,0.016
95,Downey Unified,2055,650,0.7015,0.4631,1959,1733,0.5216,0.3029,0.4354,0.2787,0.31630170316301703,0.8846350178662583,8.08,13423.0,74957.0,0.028999999999999998,0.001,0.018000000000000002,0.008,0.89,0.002,0.045,0.006999999999999999,0.0
96,La Canada Unified,340,157,0.9682,0.9107999999999999,325,108,1.0,1.0,0.9045000000000001,1.0,0.46176470588235297,0.3323076923076923,133.01,12010.0,186500.0,0.006,0.001,0.305,0.02,0.115,0.0,0.446,0.10400000000000001,0.005
97,South Pasadena Unified,324,178,0.9494,0.8371,368,68,0.9706,0.9853000000000001,0.8146,0.9706,0.5493827160493827,0.18478260869565216,17.16,11279.0,104370.0,0.015,0.001,0.32799999999999996,0.025,0.23199999999999998,0.0,0.249,0.127,0.023
98,Temple City Unified,510,207,0.9275,0.8986,459,133,0.9699,0.9623999999999999,0.8647,0.9398000000000001,0.40588235294117647,0.289760348583878,22.12,11524.0,74057.0,0.005,0.001,0.645,0.018000000000000002,0.223,0.002,0.062,0.04,0.003
99,Torrance Unified,2007,707,0.8684999999999999,0.7440000000000001,1930,240,0.9708,0.9417,0.7058,0.9333,0.35226706527154955,0.12435233160621761,2.03,11194.0,93597.0,0.040999999999999995,0.001,0.28800000000000003,0.05,0.32,0.004,0.201,0.087,0.006
100,Walnut Valley Unified,1354,687,0.9272,0.8661,1216,429,0.9743999999999999,0.9790000000000001,0.8326,0.965,0.5073855243722304,0.3527960526315789,16.19,11162.0,104237.0,0.013999999999999999,0.0,0.601,0.057999999999999996,0.226,0.004,0.055999999999999994,0.039,0.001
111,Pajaro Valley Unified,1331,337,0.6557999999999999,0.4421,1433,25,0.92,0.84,0.4036,0.84,0.2531930879038317,0.017445917655268667,0.74,15343.0,71880.0,0.004,0.002,0.006999999999999999,0.006,0.84,0.001,0.13,0.009000000000000001,0.002
112,Scotts Valley Unified,230,84,0.9167000000000001,0.7262000000000001,257,19,1.0,0.8946999999999999,0.7143,0.8946999999999999,0.3652173913043478,0.07392996108949416,28.71,10448.0,117083.0,0.003,0.003,0.067,0.01,0.179,0.001,0.621,0.11199999999999999,0.003
