name,total_students,african_american,american_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two _or_more_races,not_reported
Mariposa County Unified,"1,757",0.50%,3.90%,0.90%,0.60%,22.00%,0.00%,63.80%,6.80%,1.60%
Anderson Valley Unified,434,0.70%,0.50%,0.00%,0.00%,80.90%,0.00%,17.30%,0.70%,0.00%
Arena Union Elementary,276,0.00%,6.90%,0.00%,0.00%,51.40%,0.00%,36.60%,5.10%,0.00%
Fort Bragg Unified,"1,779",0.40%,0.80%,0.80%,0.00%,44.70%,0.00%,44.30%,5.70%,3.10%
Laytonville Unified,360,0.00%,11.10%,0.80%,0.80%,21.40%,0.00%,54.70%,9.20%,1.90%
Leggett Valley Unified,134,0.00%,3.70%,0.00%,0.70%,24.60%,0.70%,64.90%,5.20%,0.00%
Manchester Union Elementary,43,0.00%,0.00%,0.00%,0.00%,72.10%,0.00%,27.90%,0.00%,0.00%
Mendocino County Office of Education,102,2.00%,8.80%,0.00%,0.00%,30.40%,0.00%,52.00%,5.90%,1.00%
Mendocino Unified,477,1.90%,0.60%,2.10%,0.20%,16.60%,0.20%,74.20%,4.00%,0.20%
Point Arena Joint Union High,141,0.00%,9.90%,0.70%,0.70%,55.30%,0.00%,31.90%,1.40%,0.00%
Potter Valley Community Unified,271,0.00%,4.40%,0.00%,0.00%,36.20%,0.00%,55.40%,4.10%,0.00%
Round Valley Unified,497,0.00%,58.40%,0.20%,0.00%,29.00%,0.00%,11.10%,1.00%,0.40%
Ukiah Unified,"6,499",0.60%,5.10%,0.90%,0.60%,53.30%,0.00%,35.00%,4.00%,0.40%
Willits Unified,"1,868",0.90%,5.10%,0.60%,0.10%,31.70%,0.10%,41.70%,3.80%,16.00%
Atwater Elementary,"4,815",2.20%,0.60%,3.40%,0.30%,75.30%,0.20%,15.60%,2.30%,0.00%
Ballico-Cressey Elementary,348,0.60%,2.60%,1.40%,0.00%,63.50%,0.30%,31.30%,0.00%,0.30%
Delhi Unified,"2,504",0.10%,0.20%,2.50%,0.10%,91.10%,0.20%,5.20%,0.40%,0.30%
Dos Palos Oro Loma Joint Unified,"2,292",2.20%,1.50%,0.20%,0.10%,82.90%,0.20%,12.30%,0.20%,0.40%
El Nido Elementary,157,0.00%,0.60%,1.30%,0.00%,88.50%,0.00%,8.90%,0.60%,0.00%
Gustine Unified,"1,765",0.50%,0.40%,0.60%,0.40%,85.30%,0.10%,10.40%,1.40%,1.00%
Hilmar Unified,"2,350",0.30%,0.70%,0.70%,0.10%,44.40%,0.10%,52.60%,0.80%,0.20%
Le Grand Union Elementary,361,1.10%,0.00%,1.10%,0.00%,86.70%,0.00%,9.10%,0.60%,1.40%
Le Grand Union High,514,0.40%,0.20%,0.00%,0.20%,94.00%,0.00%,4.50%,0.20%,0.60%
Livingston Union,"2,474",0.70%,0.70%,11.70%,0.80%,82.30%,0.20%,3.00%,0.20%,0.30%
Los Banos Unified,"10,858",1.50%,0.30%,0.90%,0.70%,84.40%,0.60%,10.20%,0.80%,0.60%
McSwain Union Elementary,839,0.40%,0.20%,6.70%,0.20%,45.80%,0.00%,42.80%,3.90%,0.00%
Merced City Elementary,"10,800",4.70%,0.40%,9.00%,0.70%,68.40%,0.20%,12.80%,2.80%,1.10%
Merced County Office of Education,"1,472",6.30%,0.90%,2.60%,0.10%,69.70%,0.50%,17.10%,2.60%,0.10%
Merced River Union Elementary,218,3.20%,0.50%,0.50%,0.00%,59.20%,0.00%,34.40%,1.80%,0.50%
Merced Union High,"10,977",3.70%,0.50%,7.80%,0.80%,70.60%,0.30%,14.60%,0.90%,0.80%
Plainsburg Union Elementary,104,0.00%,0.00%,2.90%,0.00%,43.30%,1.90%,51.90%,0.00%,0.00%
Planada Elementary,838,1.60%,0.10%,0.60%,0.00%,96.40%,0.20%,1.10%,0.00%,0.00%
Snelling-Merced Falls Union Elementary,75,0.00%,1.30%,0.00%,0.00%,41.30%,0.00%,52.00%,4.00%,1.30%
Weaver Union,"2,960",4.10%,0.40%,14.40%,0.40%,69.00%,0.30%,8.20%,2.40%,0.80%
Winton,"1,944",0.70%,0.40%,4.40%,0.00%,87.50%,0.00%,6.90%,0.20%,0.00%
Modoc County Office of Education,24,4.20%,4.20%,0.00%,0.00%,29.20%,4.20%,54.20%,0.00%,4.20%
Modoc Joint Unified,814,1.10%,7.20%,0.70%,0.70%,18.40%,0.50%,66.30%,4.20%,0.70%
Surprise Valley Joint Unified,121,0.00%,12.40%,0.00%,0.00%,16.50%,0.00%,66.90%,0.00%,4.10%
Tulelake Basin Joint Unified,407,0.50%,0.20%,0.20%,0.00%,79.90%,0.00%,15.00%,1.50%,2.70%
Eastern Sierra Unified,400,0.50%,5.30%,0.00%,0.00%,41.30%,0.00%,51.80%,0.30%,1.00%
Mammoth Unified,"1,119",0.20%,0.20%,0.90%,0.20%,60.70%,0.00%,35.60%,2.20%,0.10%
Mono County Office of Education,203,6.90%,0.00%,2.50%,1.00%,80.80%,1.00%,7.40%,0.50%,0.00%
Alisal Union,"8,372",0.30%,0.10%,0.40%,0.90%,93.50%,0.10%,1.40%,0.50%,2.80%
Big Sur Unified,103,0.00%,0.00%,1.00%,1.00%,25.20%,0.00%,50.50%,17.50%,4.90%
Bradley Union Elementary,69,5.80%,0.00%,0.00%,0.00%,17.40%,0.00%,71.00%,5.80%,0.00%
