name,total_students,african_american,american_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two _or_more_races,not_reported
Lake Elementary,637,0.90%,1.60%,1.10%,0.20%,16.60%,0.20%,72.80%,5.50%,1.10%
Orland Joint Unified,"2,244",0.40%,0.90%,2.00%,0.20%,66.20%,0.00%,29.10%,0.90%,0.10%
Plaza Elementary,182,0.00%,1.10%,0.50%,0.00%,39.00%,0.00%,53.80%,4.40%,1.10%
Princeton Joint Unified,141,0.00%,3.50%,0.00%,0.00%,57.40%,0.00%,35.50%,3.50%,0.00%
Stony Creek Joint Unified,81,0.00%,39.50%,0.00%,0.00%,16.00%,0.00%,40.70%,3.70%,0.00%
Willows Unified,"1,363",0.90%,2.10%,4.40%,0.10%,52.50%,0.20%,36.90%,2.10%,0.70%
Arcata Elementary,"1,137",1.60%,2.30%,1.70%,0.20%,15.60%,0.20%,64.90%,12.50%,1.10%
Big Lagoon Union Elementary,24,0.00%,41.70%,0.00%,0.00%,16.70%,0.00%,41.70%,0.00%,0.00%
Blue Lake Union Elementary,179,1.70%,5.00%,1.70%,0.00%,14.50%,0.60%,48.60%,17.90%,10.10%
Bridgeville Elementary,43,0.00%,4.70%,0.00%,0.00%,9.30%,0.00%,69.80%,16.30%,0.00%
Cuddeback Union Elementary,133,0.00%,5.30%,0.00%,0.00%,17.30%,0.00%,65.40%,10.50%,1.50%
Cutten Elementary,582,0.30%,4.50%,3.30%,0.20%,13.70%,0.20%,61.70%,16.20%,0.00%
Eureka City Schools,"3,716",1.90%,5.70%,11.40%,0.50%,24.10%,1.40%,44.20%,10.70%,0.10%
Ferndale Unified,454,0.40%,5.50%,0.40%,0.00%,20.90%,0.00%,70.30%,2.00%,0.40%
Fieldbrook Elementary,116,1.70%,7.80%,0.90%,0.90%,3.40%,0.00%,75.00%,8.60%,1.70%
Fortuna Elementary,"1,249",0.30%,3.40%,0.40%,0.20%,36.30%,0.00%,52.10%,6.90%,0.40%
Fortuna Union High,"1,138",0.40%,4.40%,1.10%,0.20%,27.00%,0.10%,60.20%,6.40%,0.30%
Freshwater Elementary,323,0.30%,3.40%,0.30%,0.00%,14.20%,0.30%,73.70%,7.70%,0.00%
Garfield Elementary,58,0.00%,0.00%,0.00%,0.00%,5.20%,0.00%,87.90%,6.90%,0.00%
Green Point Elementary,10,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,80.00%,0.00%,0.00%
Humboldt County Office of Education,946,1.50%,4.40%,1.50%,0.00%,14.70%,0.20%,65.80%,9.50%,2.40%
Hydesville Elementary,175,1.10%,0.00%,0.00%,0.00%,12.00%,0.00%,75.40%,11.40%,0.00%
Jacoby Creek Elementary,454,0.70%,1.10%,2.00%,0.40%,13.40%,0.00%,73.80%,8.60%,0.00%
Klamath-Trinity Joint Unified,990,0.50%,77.70%,0.00%,0.00%,6.70%,0.50%,11.30%,2.50%,0.80%
Kneeland Elementary,26,0.00%,0.00%,0.00%,0.00%,3.80%,0.00%,92.30%,3.80%,0.00%
Loleta Union Elementary,97,3.10%,35.10%,1.00%,0.00%,36.10%,0.00%,19.60%,4.10%,1.00%
Maple Creek Elementary,11,9.10%,18.20%,0.00%,0.00%,9.10%,0.00%,27.30%,36.40%,0.00%
Mattole Unified,45,0.00%,2.20%,0.00%,0.00%,13.30%,0.00%,68.90%,13.30%,2.20%
McKinleyville Union Elementary,971,1.00%,9.10%,1.60%,0.30%,14.20%,0.20%,58.20%,12.00%,3.30%
Northern Humboldt Union High,"1,824",0.90%,4.90%,1.50%,0.10%,13.90%,0.50%,66.50%,9.10%,2.60%
Orick Elementary,21,0.00%,0.00%,0.00%,0.00%,9.50%,0.00%,66.70%,23.80%,0.00%
Pacific Union Elementary,589,1.00%,3.10%,1.00%,0.00%,24.10%,53.30%,4.60%,12.20%,0.70%
Peninsula Union,33,6.10%,3.00%,0.00%,0.00%,12.10%,0.00%,57.60%,18.20%,3.00%
Rio Dell Elementary,299,1.00%,1.70%,0.70%,0.00%,19.40%,0.00%,70.60%,6.00%,0.70%
Scotia Union Elementary,188,0.00%,3.20%,0.00%,0.00%,14.90%,0.00%,68.60%,13.30%,0.00%
South Bay Union Elementary,954,1.50%,3.60%,1.70%,0.30%,19.20%,0.10%,61.40%,11.30%,0.90%
Southern Humboldt Joint Unified,666,1.20%,2.60%,0.90%,0.00%,20.40%,0.80%,67.60%,5.40%,1.20%
Trinidad Union Elementary,185,0.00%,5.40%,0.50%,1.10%,9.20%,0.50%,68.10%,14.60%,0.50%
Brawley Elementary,"3,898",0.80%,0.10%,0.20%,0.10%,95.50%,0.00%,2.80%,0.20%,0.40%
Brawley Union High,"2,019",0.90%,0.00%,0.40%,0.30%,93.70%,0.00%,4.30%,0.30%,0.00%
Calexico Unified,"8,721",0.10%,0.00%,0.20%,0.00%,99.10%,0.00%,0.40%,0.00%,0.20%
Calipatria Unified,"1,127",2.00%,0.00%,0.10%,0.40%,89.50%,0.00%,7.30%,0.70%,0.00%
Central Union High,"4,140",0.60%,0.20%,0.60%,0.10%,95.30%,0.00%,2.90%,0.20%,0.10%
El Centro Elementary,"5,537",0.90%,0.10%,0.40%,0.10%,95.20%,0.00%,2.30%,0.40%,0.60%
Heber Elementary,"1,181",0.10%,0.00%,0.00%,0.10%,98.50%,0.00%,1.30%,0.00%,0.10%
Holtville Unified,"1,612",0.20%,0.10%,0.00%,0.10%,86.80%,0.10%,11.70%,0.90%,0.10%
Imperial County Office of Education,725,1.00%,0.10%,0.30%,0.10%,94.20%,0.00%,3.60%,0.40%,0.30%
Imperial Unified,"4,335",1.00%,0.00%,0.70%,0.80%,86.60%,0.00%,9.60%,0.70%,0.60%
Magnolia Union Elementary,134,0.70%,0.00%,0.70%,1.50%,50.70%,0.00%,46.30%,0.00%,0.00%
McCabe Union Elementary,"1,312",0.40%,0.10%,2.20%,0.20%,86.10%,0.00%,10.10%,0.50%,0.50%
Meadows Union Elementary,417,0.70%,0.00%,0.00%,0.00%,90.40%,0.50%,7.20%,1.20%,0.00%
Mulberry Elementary,78,3.80%,0.00%,0.00%,0.00%,65.40%,0.00%,28.20%,1.30%,1.30%
San Pasqual Valley Unified,609,0.70%,49.90%,0.00%,0.00%,43.00%,0.00%,1.80%,4.40%,0.20%
Seeley Union Elementary,393,2.50%,0.80%,0.00%,0.30%,90.30%,0.50%,5.30%,0.30%,0.00%
Westmorland Union Elementary,369,1.90%,0.00%,0.30%,0.00%,95.70%,0.00%,2.20%,0.00%,0.00%
Big Pine Unified,155,0.00%,35.50%,0.60%,0.00%,28.40%,0.00%,23.20%,12.30%,0.00%
Bishop Unified,"1,969",0.40%,15.70%,0.80%,0.10%,39.50%,0.10%,35.70%,6.80%,1.00%
Death Valley Unified,20,10.00%,0.00%,0.00%,0.00%,45.00%,0.00%,25.00%,10.00%,10.00%
Inyo County Office of Education,"1,467",16.40%,0.60%,0.30%,0.00%,78.20%,0.20%,2.00%,1.00%,1.40%
Lone Pine Unified,324,1.20%,11.10%,1.50%,0.30%,56.50%,0.00%,20.70%,8.60%,0.00%
Owens Valley Unified,63,0.00%,15.90%,0.00%,0.00%,49.20%,0.00%,28.60%,3.20%,3.20%
Round Valley Joint Elementary,61,0.00%,9.80%,1.60%,0.00%,18.00%,3.30%,50.80%,8.20%,8.20%
Arvin Union,"3,024",0.90%,0.10%,0.20%,0.20%,95.90%,0.00%,2.50%,0.00%,0.10%
Bakersfield City,"29,307",7.90%,0.50%,0.80%,0.40%,80.20%,0.10%,8.70%,1.50%,0.00%
Beardsley Elementary,"1,857",5.10%,0.50%,0.30%,0.30%,47.90%,0.10%,42.90%,2.50%,0.50%
Belridge Elementary,25,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
Blake Elementary,22,0.00%,0.00%,0.00%,0.00%,36.40%,0.00%,63.60%,0.00%,0.00%
Buttonwillow Union Elementary,308,2.30%,0.60%,0.60%,0.00%,89.30%,0.00%,7.10%,0.00%,0.00%
Caliente Union Elementary,51,2.00%,3.90%,0.00%,0.00%,25.50%,0.00%,66.70%,2.00%,0.00%
Delano Joint Union High,"4,222",0.40%,0.10%,0.80%,9.00%,87.80%,0.10%,1.50%,0.30%,0.00%
Delano Union Elementary,"6,392",0.40%,0.20%,0.80%,9.00%,87.00%,0.00%,1.20%,0.60%,0.70%
Di Giorgio Elementary,199,0.00%,0.00%,0.00%,0.00%,97.00%,0.00%,2.50%,0.50%,0.00%
Edison Elementary,"1,012",2.50%,1.20%,0.40%,0.00%,82.70%,0.00%,9.20%,1.60%,2.50%
El Tejon Unified,699,0.60%,1.00%,0.60%,0.70%,44.60%,0.10%,48.50%,2.40%,1.40%
Elk Hills Elementary,171,0.60%,0.00%,0.00%,0.00%,8.20%,0.00%,89.50%,1.80%,0.00%
Fairfax Elementary,"2,703",2.80%,0.20%,1.60%,0.20%,89.20%,0.00%,4.30%,0.90%,0.90%
Fruitvale Elementary,"3,055",4.10%,1.40%,2.70%,3.20%,43.10%,0.30%,42.30%,2.90%,0.00%
General Shafter Elementary,178,0.00%,0.00%,0.00%,0.00%,80.90%,0.00%,19.10%,0.00%,0.00%
Greenfield Union,"9,334",6.00%,0.20%,1.80%,0.40%,85.40%,0.10%,5.00%,1.00%,0.10%
Kern County Office of Education,"5,586",3.10%,0.40%,1.20%,0.90%,73.70%,0.10%,18.60%,1.50%,0.40%
Kern High,"42,370",5.60%,0.60%,2.90%,1.20%,69.00%,0.30%,18.50%,1.10%,0.80%
Kernville Union Elementary,812,1.10%,2.50%,0.70%,0.50%,23.60%,0.00%,69.70%,1.70%,0.10%
Lakeside Union,"1,447",5.30%,0.40%,5.40%,1.20%,64.30%,0.10%,17.10%,3.60%,2.60%
Lamont Elementary,"2,849",0.10%,0.00%,0.30%,0.00%,98.90%,0.00%,0.70%,0.00%,0.00%
Linns Valley-Poso Flat Union,15,0.00%,6.70%,0.00%,0.00%,20.00%,0.00%,73.30%,0.00%,0.00%
Lost Hills Union Elementary,288,0.00%,0.00%,0.00%,0.00%,97.90%,0.00%,2.10%,0.00%,0.00%
Maple Elementary,288,0.70%,0.70%,0.00%,0.00%,69.10%,0.00%,29.50%,0.00%,0.00%
Maricopa Unified,"13,351",5.10%,0.40%,3.10%,1.00%,30.90%,0.20%,49.50%,7.50%,2.20%
McFarland Unified,"3,445",0.20%,0.00%,0.50%,0.30%,97.80%,0.00%,1.20%,0.00%,0.00%
McKittrick Elementary,67,4.50%,0.00%,1.50%,0.00%,20.90%,0.00%,71.60%,1.50%,0.00%
Midway Elementary,72,0.00%,1.40%,0.00%,0.00%,19.40%,0.00%,76.40%,2.80%,0.00%
Mojave Unified,"2,869",30.60%,0.30%,0.70%,0.20%,47.60%,0.30%,14.60%,5.20%,0.30%
Muroc Joint Unified,"1,687",7.90%,0.40%,0.90%,1.70%,31.20%,1.00%,43.10%,13.10%,0.70%
Norris Elementary,"3,916",1.50%,0.80%,3.30%,2.80%,33.70%,0.10%,52.90%,4.50%,0.50%
Panama-Buena Vista Union,"18,262",8.60%,0.40%,9.30%,0.60%,59.50%,0.50%,17.20%,2.00%,1.90%
Pond Union Elementary,164,0.00%,0.00%,1.20%,0.60%,93.90%,0.00%,2.40%,1.20%,0.60%
Richland Union Elementary,"3,389",0.40%,0.00%,1.50%,0.00%,91.00%,0.10%,6.90%,0.00%,0.10%
Rio Bravo-Greeley Union Elementary,992,0.60%,0.40%,1.20%,0.50%,47.30%,0.40%,48.20%,1.40%,0.00%
Rosedale Union Elementary,"5,762",2.80%,0.60%,3.30%,2.00%,37.50%,0.20%,51.50%,2.00%,0.00%
Semitropic Elementary,170,3.50%,0.00%,0.00%,0.00%,93.50%,0.00%,2.40%,0.00%,0.60%
Sierra Sands Unified,"4,950",5.20%,1.20%,2.50%,1.80%,30.40%,0.60%,54.20%,3.90%,0.10%
South Fork Union,291,0.00%,2.70%,1.00%,0.00%,16.20%,0.00%,71.50%,6.50%,2.10%
Southern Kern Unified,"3,366",8.90%,0.40%,0.80%,0.70%,59.50%,0.20%,24.90%,3.90%,0.60%
Standard Elementary,"2,913",3.00%,1.00%,0.40%,0.20%,36.00%,0.20%,57.10%,2.20%,0.00%
Taft City,"2,322",0.80%,0.20%,0.50%,0.30%,64.40%,0.30%,31.50%,0.30%,1.70%
Taft Union High,"1,095",0.60%,0.40%,0.30%,0.30%,56.10%,0.20%,40.80%,0.80%,0.50%
Tehachapi Unified,"3,971",1.60%,0.50%,1.10%,0.30%,35.90%,0.20%,58.20%,2.10%,0.10%
Vineland Elementary,666,0.00%,0.00%,0.00%,0.00%,98.90%,0.00%,1.10%,0.00%,0.00%
Wasco Union Elementary,"3,455",1.50%,0.10%,0.90%,0.00%,94.40%,0.00%,2.80%,0.20%,0.20%
Wasco Union High,"1,921",1.20%,0.00%,0.20%,0.10%,94.30%,0.00%,4.20%,0.00%,0.10%
Armona Union Elementary,"1,739",3.10%,0.60%,1.20%,1.00%,70.30%,0.30%,21.10%,2.30%,0.10%
Central Union Elementary,"1,783",7.10%,4.80%,0.80%,3.40%,41.60%,0.70%,29.70%,11.80%,0.10%
Corcoran Joint Unified,"3,257",2.50%,0.20%,0.40%,0.30%,91.70%,0.10%,4.60%,0.10%,0.10%
Hanford Elementary,"5,690",4.70%,0.50%,0.80%,0.70%,76.40%,0.10%,13.60%,3.00%,0.10%
Hanford Joint Union High,"4,056",3.30%,0.40%,1.30%,1.50%,69.40%,0.20%,20.40%,3.00%,0.50%
Island Union Elementary,398,0.30%,0.30%,0.00%,0.30%,35.40%,0.00%,60.30%,3.50%,0.00%
Kings County Office of Education,326,5.50%,2.80%,0.30%,2.50%,68.10%,0.00%,18.10%,2.80%,0.00%
Kings River-Hardwick Union Elementary,794,0.50%,0.10%,0.50%,0.80%,42.70%,0.00%,51.30%,3.80%,0.40%
Kit Carson Union Elementary,"1,539",1.90%,0.80%,0.20%,0.30%,75.20%,0.40%,18.00%,2.30%,0.80%
Lakeside Union Elementary,266,4.90%,0.00%,1.90%,0.40%,84.20%,0.00%,5.30%,3.40%,0.00%
Lemoore Union Elementary,"3,227",3.50%,1.30%,1.10%,3.70%,65.10%,0.30%,20.00%,5.00%,0.00%
Lemoore Union High,"2,341",3.90%,2.70%,0.90%,3.90%,58.90%,0.60%,23.70%,5.40%,0.00%
Pioneer Union Elementary,"1,540",3.40%,0.60%,3.30%,2.80%,54.40%,0.30%,31.40%,3.80%,0.00%
Reef-Sunset Unified,"2,728",0.00%,0.10%,0.50%,0.00%,97.10%,0.10%,2.10%,0.00%,0.00%
Kelseyville Unified,"1,745",0.60%,2.60%,0.10%,0.50%,44.10%,0.00%,45.70%,6.10%,0.30%
Konocti Unified,"3,603",2.40%,2.60%,0.30%,0.20%,48.70%,0.00%,37.50%,7.00%,1.10%
Lake County Office of Education,23,0.00%,4.30%,0.00%,0.00%,21.70%,0.00%,52.20%,8.70%,13.00%
Lakeport Unified,"1,388",1.40%,10.70%,1.90%,0.90%,35.30%,0.10%,43.20%,4.80%,1.70%
Lucerne Elementary,274,2.20%,3.60%,0.00%,0.00%,29.60%,0.00%,57.70%,6.90%,0.00%
Middletown Unified,"1,655",0.60%,1.10%,0.50%,0.40%,27.50%,0.20%,62.80%,6.90%,0.00%
Upper Lake Unified,852,0.70%,7.30%,1.20%,0.10%,33.00%,0.00%,52.70%,4.60%,0.50%
Big Valley Joint Unified,117,0.00%,4.30%,0.00%,0.00%,17.10%,0.00%,76.90%,0.00%,1.70%
Fort Sage Unified,505,2.40%,1.80%,0.20%,0.00%,16.40%,0.20%,72.70%,5.90%,0.40%
Janesville Union Elementary,386,0.00%,2.30%,0.80%,0.50%,14.00%,0.00%,74.90%,7.30%,0.30%
Johnstonville Elementary,178,0.00%,1.70%,1.10%,0.60%,23.60%,0.00%,69.10%,3.90%,0.00%
Lassen County Office of Education,10,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,80.00%,0.00%,0.00%
Lassen Union High,822,1.20%,4.40%,0.70%,0.70%,20.80%,1.70%,61.80%,7.10%,1.60%
Ravendale-Termo Elementary,12,0.00%,8.30%,0.00%,0.00%,16.70%,0.00%,58.30%,16.70%,0.00%
Richmond Elementary,211,0.00%,1.40%,0.00%,0.00%,9.00%,0.50%,83.40%,5.20%,0.50%
Shaffer Union Elementary,187,2.70%,3.70%,1.10%,0.50%,27.80%,1.10%,61.00%,2.10%,0.00%
Susanville Elementary,"1,220",1.10%,4.50%,1.40%,0.70%,22.50%,3.80%,57.50%,8.10%,0.30%
Westwood Unified,189,2.10%,9.50%,0.00%,0.00%,18.00%,0.00%,68.80%,1.60%,0.00%
ABC Unified,"19,540",7.80%,0.30%,23.70%,11.70%,45.50%,0.60%,5.40%,3.40%,1.80%
Acton-Agua Dulce Unified,"12,532",7.30%,0.40%,2.30%,0.60%,54.30%,0.20%,27.10%,5.60%,2.30%
Alhambra Unified,"15,747",0.60%,0.10%,50.10%,2.40%,40.90%,0.10%,2.10%,2.70%,1.10%
Antelope Valley Union High,"22,792",16.40%,0.20%,1.20%,1.40%,64.80%,0.10%,11.10%,4.70%,0.10%
Arcadia Unified,"8,946",1.70%,0.10%,64.70%,3.20%,16.10%,0.10%,10.70%,2.70%,0.70%
Azusa Unified,"7,330",1.00%,0.10%,1.40%,1.30%,92.20%,0.00%,2.90%,0.50%,0.60%
Baldwin Park Unified,"14,730",3.60%,0.20%,5.30%,1.40%,84.50%,0.20%,3.10%,0.80%,0.90%
Bassett Unified,"3,215",0.60%,0.10%,4.00%,1.40%,93.00%,0.00%,0.80%,0.00%,0.00%
Bellflower Unified,"10,723",12.50%,0.40%,3.80%,4.40%,66.20%,1.00%,8.30%,2.90%,0.60%
Beverly Hills Unified,"3,313",2.50%,0.20%,11.40%,0.60%,8.60%,0.20%,68.90%,5.40%,2.20%
Bonita Unified,"9,669",2.40%,0.10%,6.60%,2.30%,54.60%,0.10%,24.50%,6.20%,3.10%
Burbank Unified,"14,704",2.50%,0.20%,5.60%,3.60%,32.90%,0.10%,47.50%,5.30%,2.30%
Castaic Union,"1,860",2.00%,0.00%,3.60%,3.50%,47.00%,0.10%,38.70%,5.20%,0.00%
Centinela Valley Union High,"6,657",14.70%,0.20%,2.30%,0.80%,76.70%,0.80%,1.80%,2.50%,0.30%
Charter Oak Unified,"4,522",2.50%,0.50%,4.90%,2.60%,71.10%,0.10%,15.00%,3.10%,0.00%
Claremont Unified,"6,744",4.40%,0.20%,10.40%,1.60%,44.10%,0.10%,31.30%,6.20%,1.60%
Compton Unified,"22,117",19.30%,0.20%,0.10%,0.00%,78.30%,0.50%,0.20%,0.40%,1.00%
Covina-Valley Unified,"11,332",2.70%,0.30%,6.90%,3.00%,78.80%,0.20%,6.90%,1.20%,0.20%
Culver City Unified,"7,076",11.60%,0.10%,10.60%,1.50%,37.10%,0.30%,25.80%,12.00%,0.90%
Downey Unified,"22,216",2.90%,0.10%,1.80%,0.80%,89.00%,0.20%,4.50%,0.70%,0.00%
Duarte Unified,"5,317",5.00%,0.10%,5.80%,2.90%,67.20%,0.20%,12.50%,3.60%,2.70%
East Whittier City Elementary,"8,230",0.90%,0.10%,1.50%,1.00%,83.80%,0.10%,9.50%,1.60%,1.60%
Eastside Union Elementary,"3,167",22.70%,0.20%,0.30%,1.20%,66.00%,0.30%,6.30%,2.90%,0.10%
El Monte City,"7,589",0.50%,0.00%,17.90%,0.60%,79.80%,0.10%,0.90%,0.20%,0.00%
El Monte Union High,"8,358",0.30%,0.00%,19.60%,0.60%,78.10%,0.00%,1.10%,0.20%,0.20%
El Rancho Unified,"7,985",0.50%,0.00%,0.40%,0.40%,97.40%,0.10%,1.00%,0.30%,0.00%
El Segundo Unified,"3,448",3.90%,0.20%,7.60%,1.50%,22.40%,0.30%,48.40%,15.60%,0.00%
Garvey Elementary,"4,431",0.40%,0.10%,59.00%,1.30%,36.00%,0.10%,1.10%,1.20%,0.90%
Glendale Unified,"24,924",1.10%,0.10%,11.30%,4.50%,20.00%,0.10%,59.30%,3.50%,0.00%
Glendora Unified,"6,833",1.20%,0.20%,10.40%,2.30%,45.60%,0.10%,34.60%,5.50%,0.00%
Gorman Joint,"1,301",7.80%,0.50%,2.20%,1.40%,42.70%,0.20%,35.50%,7.00%,2.80%
Hacienda la Puente Unified,"17,329",0.80%,0.10%,16.50%,1.80%,76.80%,0.20%,2.70%,0.30%,0.80%
Hawthorne,"7,581",20.10%,0.40%,2.30%,1.40%,71.60%,1.10%,2.10%,0.60%,0.40%
Hermosa Beach City Elementary,"1,198",1.40%,0.40%,5.70%,0.20%,12.80%,0.50%,67.10%,11.80%,0.20%
Hughes-Elizabeth Lakes Union Elementary,178,1.10%,0.00%,0.00%,0.00%,28.10%,0.00%,68.50%,2.20%,0.00%
Inglewood Unified,"9,683",37.60%,0.60%,0.50%,0.20%,58.90%,0.50%,0.50%,0.80%,0.50%
Keppel Union Elementary,"2,846",3.70%,0.20%,0.60%,0.20%,79.80%,0.10%,13.70%,1.60%,0.20%
La Canada Unified,"3,988",0.60%,0.10%,30.50%,2.00%,11.50%,0.00%,44.60%,10.40%,0.50%
Lancaster Elementary,"14,743",28.30%,0.50%,0.80%,1.20%,54.40%,0.20%,9.80%,4.70%,0.20%
Las Virgenes Unified,"10,248",1.90%,0.50%,6.40%,0.90%,12.70%,0.10%,70.70%,5.70%,1.10%
Lawndale Elementary,"5,470",9.90%,0.00%,4.70%,0.70%,76.30%,0.70%,4.40%,1.70%,1.60%
Lennox,"6,427",1.00%,0.10%,0.30%,0.10%,94.30%,0.20%,0.50%,0.00%,3.50%
Little Lake City Elementary,"4,079",1.40%,0.10%,2.00%,1.60%,89.80%,0.20%,3.60%,1.10%,0.20%
Long Beach Unified,"69,708",12.60%,0.20%,7.40%,3.20%,58.20%,1.20%,12.50%,4.30%,0.50%
Los Angeles County Office of Education,"8,639",11.90%,0.10%,2.20%,1.50%,71.30%,0.20%,9.40%,2.40%,1.10%
Los Angeles Unified,"574,996",7.60%,0.20%,3.60%,1.90%,74.20%,0.20%,10.20%,1.60%,0.50%
Los Nietos,"1,379",1.20%,0.10%,0.80%,0.30%,96.20%,0.10%,1.20%,0.10%,0.00%
Lowell Joint,"3,139",1.20%,0.10%,4.60%,1.60%,68.40%,0.30%,20.40%,1.80%,1.60%
Lynwood Unified,"12,791",4.70%,0.10%,0.20%,0.00%,94.00%,0.20%,0.60%,0.10%,0.00%
Manhattan Beach Unified,"6,030",1.10%,0.10%,10.80%,1.20%,12.40%,0.10%,59.80%,13.80%,0.60%
Monrovia Unified,"5,247",4.70%,0.20%,6.30%,2.60%,64.50%,0.10%,17.40%,4.30%,0.00%
Montebello Unified,"23,092",0.30%,0.20%,2.00%,0.40%,95.30%,0.10%,1.10%,0.20%,0.50%
Mountain View Elementary,"5,788",0.30%,0.10%,5.10%,0.30%,93.60%,0.00%,0.40%,0.10%,0.10%
Newhall,"5,920",2.00%,0.30%,9.60%,3.50%,49.10%,0.10%,29.60%,5.50%,0.30%
Norwalk-La Mirada Unified,"16,209",2.30%,0.20%,4.30%,2.80%,79.70%,0.40%,7.10%,1.90%,1.20%
Palmdale Elementary,"21,396",13.60%,0.60%,0.50%,0.70%,77.10%,0.20%,5.20%,1.80%,0.20%
Palos Verdes Peninsula Unified,"10,503",2.00%,0.20%,27.90%,2.10%,14.10%,0.20%,42.70%,9.70%,1.20%
Paramount Unified,"13,761",7.70%,0.10%,0.80%,0.40%,88.30%,0.60%,1.00%,0.90%,0.10%
Pasadena Unified,"16,761",11.10%,0.20%,5.40%,1.90%,57.80%,0.20%,19.10%,3.70%,0.50%
Pomona Unified,"22,388",4.00%,0.20%,3.60%,1.00%,86.50%,0.20%,2.90%,0.90%,0.70%
Redondo Beach Unified,"9,803",3.10%,0.30%,10.70%,1.80%,24.20%,0.10%,44.60%,14.80%,0.40%
Rosemead Elementary,"2,341",0.30%,0.00%,54.80%,1.40%,36.30%,0.00%,1.60%,0.40%,5.20%
Rowland Unified,"13,801",2.70%,0.10%,20.10%,6.70%,64.10%,0.30%,3.70%,1.60%,0.70%
San Gabriel Unified,"5,366",1.40%,0.10%,46.30%,1.90%,40.70%,0.20%,5.10%,2.30%,1.90%
San Marino Unified,"2,821",0.70%,0.20%,58.60%,1.90%,4.00%,0.10%,22.70%,11.30%,0.60%
Santa Monica-Malibu Unified,"9,929",6.10%,0.20%,6.20%,0.70%,29.50%,0.20%,49.50%,6.90%,0.80%
Saugus Union,"9,071",3.40%,0.20%,9.30%,6.50%,35.60%,0.10%,39.00%,5.50%,0.50%
SBE - Academia Avance Charter,293,0.70%,0.00%,1.00%,0.70%,91.50%,0.00%,1.00%,0.00%,5.10%
SBE - Celerity Himalia,717,0.60%,0.00%,0.00%,0.00%,96.40%,0.00%,0.00%,0.00%,3.10%
SBE - Los Angeles College Prep Academy,64,3.10%,0.00%,1.60%,1.60%,78.10%,0.00%,4.70%,0.00%,10.90%
SBE - New West Charter,"1,043",5.50%,0.50%,7.20%,1.00%,24.20%,0.20%,53.50%,7.60%,0.50%
SBE - Prepa Tec Los Angeles High,324,0.30%,0.00%,0.30%,0.00%,98.10%,0.00%,0.00%,0.00%,1.20%
SBE - The School of Arts and Enterprise,726,4.10%,0.40%,0.70%,1.00%,82.00%,0.00%,7.20%,4.70%,0.00%
South Pasadena Unified,"4,718",1.50%,0.10%,32.80%,2.50%,23.20%,0.00%,24.90%,12.70%,2.30%
South Whittier Elementary,"2,444",0.90%,0.20%,0.40%,0.90%,94.60%,0.10%,2.60%,0.40%,0.00%
Sulphur Springs Union,"5,069",5.70%,0.40%,4.10%,5.80%,57.10%,0.10%,21.60%,4.50%,0.70%
Temple City Unified,"5,482",0.50%,0.10%,64.50%,1.80%,22.30%,0.20%,6.20%,4.00%,0.30%
Torrance Unified,"22,490",4.10%,0.10%,28.80%,5.00%,32.00%,0.40%,20.10%,8.70%,0.60%
Valle Lindo Elementary,"1,005",0.40%,0.00%,7.40%,0.30%,91.10%,0.00%,0.60%,0.10%,0.10%
Walnut Valley Unified,"13,493",1.40%,0.00%,60.10%,5.80%,22.60%,0.40%,5.60%,3.90%,0.10%
West Covina Unified,"14,632",7.80%,0.40%,9.00%,3.30%,67.10%,0.40%,10.30%,1.60%,0.20%
Westside Union Elementary,"9,172",10.50%,0.20%,2.50%,1.60%,50.20%,0.10%,29.20%,5.70%,0.20%
Whittier City Elementary,"5,836",1.00%,0.20%,0.80%,0.40%,91.10%,0.10%,3.20%,0.80%,2.50%
Whittier Union High,"11,253",1.30%,0.20%,1.40%,1.20%,89.20%,0.20%,6.10%,0.20%,0.10%
William S. Hart Union High,"23,623",3.90%,0.20%,7.40%,5.00%,42.20%,0.20%,36.40%,4.50%,0.20%
Wilsona Elementary,"1,207",7.10%,1.10%,0.10%,0.00%,78.00%,0.00%,10.20%,3.40%,0.10%
Wiseburn Unified,"4,754",14.00%,0.20%,4.50%,1.30%,53.20%,0.50%,16.30%,7.30%,2.70%
Alview-Dairyland Union Elementary,364,0.00%,0.30%,1.40%,0.50%,56.90%,0.00%,39.80%,0.80%,0.30%
Bass Lake Joint Union Elementary,826,0.40%,2.20%,1.90%,0.40%,23.70%,0.20%,67.80%,3.40%,0.00%
Chawanakee Unified,"1,531",0.60%,6.50%,1.50%,0.00%,22.90%,0.10%,60.30%,5.60%,2.70%
Chowchilla Elementary,"2,193",2.10%,0.70%,1.60%,0.40%,69.80%,0.20%,23.80%,1.50%,0.00%
Chowchilla Union High,"1,098",0.70%,0.50%,2.60%,0.30%,65.90%,0.10%,28.00%,2.00%,0.00%
Golden Valley Unified,"2,089",1.40%,1.00%,3.70%,0.30%,46.40%,0.00%,44.10%,2.50%,0.40%
