,district,students_in_grade_12_20,act_test_takers_20,act_eng_20,act_read_20,act_math_20,act_sci_20,act_comp_over_21_20,act_20_participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
431,Benicia Unified,437,73,26.0,26.0,26.0,26.0,0.84,0.16704805491990846,13.06,10914.0,103163.0,0.064,0.004,0.048,0.071,0.203,0.002,0.446,0.14300000000000002,0.021
432,Dixon Unified,302,81,20.0,21.0,21.0,20.0,0.44,0.2682119205298013,4.77,12277.0,83143.0,0.021,0.003,0.009000000000000001,0.015,0.581,0.005,0.284,0.046,0.036000000000000004
433,Fairfield-Suisun Unified,1512,80,23.0,24.0,22.0,22.0,0.59,0.05291005291005291,11.18,11182.0,83874.0,0.135,0.003,0.057999999999999996,0.09,0.452,0.011000000000000001,0.156,0.092,0.002
434,Travis Unified,422,27,23.0,24.0,23.0,23.0,0.7,0.06398104265402843,20.01,11362.0,106068.0,0.109,0.003,0.042,0.10099999999999999,0.271,0.011000000000000001,0.315,0.135,0.013999999999999999
435,Vacaville Unified,1021,95,23.0,23.0,23.0,22.0,0.72,0.0930460333006856,7.69,11479.0,84968.0,0.057999999999999996,0.004,0.027999999999999997,0.035,0.39,0.006,0.385,0.09,0.005
436,Vallejo City Unified,1032,103,18.0,19.0,18.0,19.0,0.27,0.0998062015503876,16.77,13268.0,69300.0,0.257,0.003,0.028999999999999998,0.138,0.45399999999999996,0.019,0.065,0.027999999999999997,0.005
438,West Sonoma County Union High,439,37,25.0,25.0,23.0,24.0,0.78,0.08428246013667426,3.87,14139.0,80223.0,0.017,0.013999999999999999,0.027000000000000003,0.005,0.253,0.001,0.642,0.042,0.0
446,Roseland,156,92,17.0,19.0,18.0,18.0,0.27,0.5897435897435898,45.44,24306.0,60140.0,0.006,0.005,0.01,0.002,0.941,0.0,0.024,0.01,0.002
448,Sonoma Valley Unified,320,42,22.0,24.0,22.0,23.0,0.6,0.13125,11.35,14357.0,84669.0,0.005,0.004,0.013999999999999999,0.005,0.603,0.002,0.337,0.016,0.015
450,Cotati-Rohnert Park Unified,540,61,24.0,25.0,23.0,23.0,0.69,0.11296296296296296,12.29,13081.0,73549.0,0.018000000000000002,0.006999999999999999,0.028999999999999998,0.01,0.41600000000000004,0.004,0.405,0.068,0.043
451,Windsor Unified,476,96,24.0,24.0,22.0,23.0,0.67,0.20168067226890757,25.15,12148.0,105938.0,0.006,0.006999999999999999,0.016,0.004,0.551,0.003,0.377,0.035,0.001
452,Healdsburg Unified,128,22,23.0,26.0,22.0,22.0,0.73,0.171875,52.57,18117.0,96381.0,0.004,0.009000000000000001,0.009000000000000001,0.002,0.632,0.002,0.335,0.008,0.0
454,Ceres Unified,1100,25,20.0,21.0,21.0,20.0,0.48,0.022727272727272728,34.78,12822.0,58193.0,0.016,0.004,0.049,0.005,0.7879999999999999,0.006,0.122,0.008,0.002
464,Oakdale Joint Unified,426,22,21.0,23.0,22.0,23.0,0.68,0.051643192488262914,26.58,11208.0,72342.0,0.005,0.006,0.01,0.005,0.389,0.002,0.5479999999999999,0.033,0.001
466,Turlock Unified,1269,72,22.0,23.0,22.0,22.0,0.62,0.05673758865248227,37.52,12863.0,55962.0,0.02,0.006,0.055999999999999994,0.001,0.5920000000000001,0.005,0.294,0.013000000000000001,0.013000000000000001
469,Live Oak Unified,142,45,19.0,20.0,20.0,19.0,0.4,0.31690140845070425,38.89,12518.0,56667.0,0.008,0.009000000000000001,0.109,0.002,0.589,0.004,0.268,0.011000000000000001,0.0
473,Sutter Union High,181,26,21.0,23.0,22.0,22.0,0.62,0.143646408839779,27.03,11227.0,71914.0,0.002,0.016,0.027999999999999997,0.001,0.275,0.001,0.619,0.057,0.0
475,Yuba City Unified,988,87,22.0,23.0,23.0,22.0,0.63,0.08805668016194332,32.6,13243.0,57703.0,0.017,0.006,0.198,0.005,0.46399999999999997,0.003,0.249,0.049,0.008
477,Corning Union High,255,86,17.0,19.0,17.0,17.0,0.22,0.33725490196078434,44.77,13720.0,46302.0,0.005,0.016,0.016,0.004,0.622,0.001,0.303,0.013000000000000001,0.02
478,Los Molinos Unified,62,54,16.0,18.0,17.0,17.0,0.22,0.8709677419354839,41.34,14423.0,45326.0,0.004,0.018000000000000002,0.011000000000000001,0.0,0.52,0.0,0.401,0.04,0.006999999999999999
479,Red Bluff Joint Union High,425,215,18.0,20.0,19.0,19.0,0.35,0.5058823529411764,45.64,14141.0,43553.0,0.009000000000000001,0.027999999999999997,0.008,0.001,0.341,0.002,0.5710000000000001,0.04,0.001
486,Cutler-Orosi Joint Unified,295,86,15.0,16.0,17.0,17.0,0.1,0.29152542372881357,53.54,13922.0,38797.0,0.0,0.001,0.001,0.027000000000000003,0.9590000000000001,0.0,0.01,0.0,0.0
489,Tulare Joint Union High,1328,136,18.0,21.0,20.0,20.0,0.42,0.10240963855421686,34.98,14165.0,51324.0,0.024,0.003,0.013000000000000001,0.004,0.7809999999999999,0.002,0.163,0.005,0.005
490,Visalia Unified,2155,147,23.0,24.0,23.0,23.0,0.69,0.06821345707656612,35.48,12279.0,60393.0,0.013999999999999999,0.005,0.040999999999999995,0.008,0.6970000000000001,0.002,0.18100000000000002,0.026000000000000002,0.027999999999999997
491,Farmersville Unified,179,45,16.0,17.0,16.0,17.0,0.09,0.25139664804469275,51.24,14092.0,39650.0,0.002,0.002,0.005,0.0,0.958,0.0,0.008,0.0,0.024
492,Porterville Unified,1616,189,19.0,21.0,20.0,20.0,0.39,0.11695544554455446,55.27,13584.0,39205.0,0.003,0.021,0.013999999999999999,0.008,0.825,0.004,0.107,0.01,0.008
493,Dinuba Unified,544,40,18.0,20.0,20.0,19.0,0.4,0.07352941176470588,55.74,12543.0,44065.0,0.004,0.004,0.011000000000000001,0.006999999999999999,0.937,0.001,0.037000000000000005,0.0,0.0
494,Woodlake Unified,171,34,18.0,20.0,19.0,20.0,0.38,0.19883040935672514,44.62,14047.0,44776.0,0.004,0.004,0.006999999999999999,0.0,0.912,0.0,0.07200000000000001,0.001,0.0
501,Fillmore Unified,279,17,19.0,20.0,23.0,21.0,0.53,0.06093189964157706,6.86,13555.0,75201.0,0.002,0.003,0.003,0.004,0.9259999999999999,0.0,0.057,0.006999999999999999,0.0
503,Ojai Unified,201,21,25.0,27.0,24.0,25.0,0.86,0.1044776119402985,10.9,12123.0,79371.0,0.008,0.002,0.013999999999999999,0.005,0.38,0.001,0.552,0.038,0.0
504,Oxnard Union High,4095,275,21.0,22.0,22.0,21.0,0.53,0.06715506715506715,4.77,13175.0,78649.0,0.012,0.001,0.021,0.033,0.79,0.002,0.115,0.026000000000000002,0.0
506,Simi Valley Unified,1491,114,26.0,26.0,25.0,25.0,0.85,0.07645875251509054,11.95,11607.0,98876.0,0.011000000000000001,0.001,0.08,0.021,0.4,0.001,0.436,0.047,0.003
507,Ventura Unified,1185,184,23.0,24.0,23.0,23.0,0.64,0.15527426160337554,12.82,12006.0,78534.0,0.011000000000000001,0.002,0.027000000000000003,0.006999999999999999,0.5489999999999999,0.001,0.36200000000000004,0.04,0.0
508,Conejo Valley Unified,1733,380,26.0,27.0,26.0,26.0,0.87,0.2192729371032891,24.8,11119.0,110829.0,0.013999999999999999,0.003,0.09,0.012,0.293,0.003,0.527,0.057999999999999996,0.0
509,Oak Park Unified,404,138,30.0,29.0,27.0,27.0,0.96,0.3415841584158416,49.39,10394.0,132665.0,0.018000000000000002,0.002,0.255,0.018000000000000002,0.10400000000000001,0.001,0.532,0.07,0.0
510,Moorpark Unified,538,104,25.0,27.0,25.0,25.0,0.82,0.19330855018587362,19.36,10939.0,107703.0,0.006999999999999999,0.001,0.049,0.01,0.503,0.0,0.379,0.05,0.0
511,Santa Paula Unified,376,124,18.0,19.0,19.0,20.0,0.38,0.32978723404255317,25.05,14021.0,59397.0,0.002,0.001,0.001,0.001,0.958,0.001,0.034,0.002,0.0
513,Davis Joint Unified,737,180,28.0,28.0,28.0,27.0,0.95,0.24423337856173677,20.53,12987.0,67918.0,0.028999999999999998,0.004,0.155,0.01,0.22699999999999998,0.003,0.49,0.075,0.006
517,Woodland Joint Unified,749,78,20.0,21.0,20.0,20.0,0.45,0.1041388518024032,23.57,12383.0,68687.0,0.013000000000000001,0.005,0.054000000000000006,0.006999999999999999,0.695,0.004,0.188,0.024,0.01
520,Marysville Joint Unified,641,28,22.0,23.0,21.0,22.0,0.54,0.0436817472698908,47.22,12248.0,51851.0,0.037000000000000005,0.018000000000000002,0.08800000000000001,0.005,0.452,0.003,0.34,0.046,0.01
