,district,students_in_grade_12_20,act_test_takers_20,act_eng_20,act_read_20,act_math_20,act_sci_20,act_comp_over_21_20,act_20_participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
107,Tehachapi Unified,304,15,24.0,27.0,24.0,25.0,0.73,0.049342105263157895,40.44,10710.0,64571.0,0.016,0.005,0.011000000000000001,0.003,0.359,0.002,0.5820000000000001,0.021,0.001
108,Wasco Union High,405,85,19.0,20.0,20.0,20.0,0.33,0.20987654320987653,63.09,12441.0,39137.0,0.012,0.0,0.002,0.001,0.943,0.0,0.042,0.0,0.001
114,Corcoran Joint Unified,197,30,15.0,17.0,17.0,18.0,0.1,0.15228426395939088,59.26,13054.0,38906.0,0.025,0.002,0.004,0.003,0.917,0.001,0.046,0.001,0.001
115,Hanford Joint Union High,900,35,21.0,22.0,23.0,21.0,0.69,0.03888888888888889,30.9,12744.0,61455.0,0.033,0.004,0.013000000000000001,0.015,0.6940000000000001,0.002,0.204,0.03,0.005
117,Lemoore Union High,504,39,20.0,21.0,21.0,21.0,0.41,0.07738095238095238,31.93,12518.0,61824.0,0.039,0.027000000000000003,0.009000000000000001,0.039,0.589,0.006,0.237,0.054000000000000006,0.0
118,Reef-Sunset Unified,124,78,15.0,16.0,16.0,16.0,0.1,0.6290322580645161,49.21,13896.0,42136.0,0.0,0.001,0.005,0.0,0.971,0.001,0.021,0.0,0.0
120,Konocti Unified,230,17,21.0,22.0,19.0,19.0,0.47,0.07391304347826087,64.03,13008.0,35601.0,0.024,0.026000000000000002,0.003,0.002,0.48700000000000004,0.0,0.375,0.07,0.011000000000000001
123,Upper Lake Unified,69,15,15.0,18.0,15.0,16.0,0.07,0.21739130434782608,43.49,13171.0,50000.0,0.006999999999999999,0.073,0.012,0.001,0.33,0.0,0.527,0.046,0.005
124,Lassen Union High,176,26,19.0,22.0,20.0,21.0,0.38,0.14772727272727273,30.98,12816.0,61034.0,0.012,0.044000000000000004,0.006999999999999999,0.006999999999999999,0.20800000000000002,0.017,0.618,0.071,0.016
130,Antelope Valley Union High,5585,317,20.0,21.0,19.0,20.0,0.39,0.0567591763652641,28.34,13693.0,58602.0,0.16399999999999998,0.002,0.012,0.013999999999999999,0.648,0.001,0.111,0.047,0.001
131,Arcadia Unified,823,151,29.0,29.0,29.0,28.0,0.91,0.18347509113001215,11.57,12188.0,95684.0,0.017,0.001,0.647,0.032,0.161,0.001,0.107,0.027000000000000003,0.006999999999999999
132,Azusa Unified,698,31,19.0,21.0,21.0,20.0,0.45,0.044412607449856735,2.08,15088.0,71068.0,0.01,0.001,0.013999999999999999,0.013000000000000001,0.922,0.0,0.028999999999999998,0.005,0.006
133,Baldwin Park Unified,1738,151,19.0,21.0,20.0,20.0,0.45,0.08688147295742232,12.64,14543.0,65978.0,0.036000000000000004,0.002,0.053,0.013999999999999999,0.845,0.002,0.031,0.008,0.009000000000000001
